fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
463,2017-12-31T02:30:29Z,-33.35620000,147.93376667,0.00,920.11905433863,-11518.19741860048,1,0,186.116,
464,2017-12-31T02:30:34Z,-33.35633333,147.93310000,0.00,925.11905433863,-11513.19741860048,2,0,186.104,
465,2017-12-31T02:30:39Z,-33.35651667,147.93226667,0.00,930.11905433863,-11508.19741860048,3,0,186.088,
466,2017-12-31T02:30:44Z,-33.35665000,147.93148333,0.00,935.11905433863,-11503.19741860048,4,0,186.077,
467,2017-12-31T02:30:49Z,-33.35676667,147.93076667,0.00,940.11905433863,-11498.19741860048,5,0,186.067,
468,2017-12-31T02:30:54Z,-33.35688333,147.93006667,0.00,945.11905433863,-11493.19741860048,6,0,186.058,
469,2017-12-31T02:30:59Z,-33.35715000,147.92945000,0.00,950.11905433863,-11488.19741860048,7,0,186.031,
470,2017-12-31T02:31:04Z,-33.35731667,147.92878333,0.00,955.11905433863,-11483.19741860048,1,1,186.016,
471,2017-12-31T02:31:09Z,-33.35745000,147.92806667,0.00,960.11905433863,-11478.19741860048,2,1,186.005,
472,2017-12-31T02:31:14Z,-33.35753333,147.92741667,0.00,965.11905433863,-11473.19741860048,3,1,185.999,
473,2017-12-31T02:31:19Z,-33.35755000,147.92675000,0.00,970.11905433863,-11468.19741860048,4,1,186.001,
474,2017-12-31T02:31:24Z,-33.35755000,147.92606667,0.00,975.11905433863,-11463.19741860048,5,1,186.005,
475,2017-12-31T02:31:29Z,-33.35755000,147.92535000,0.00,980.11905433863,-11458.19741860048,6,1,186.009,
476,2017-12-31T02:31:34Z,-33.35760000,147.92465000,0.00,985.11905433863,-11453.19741860048,7,1,186.008,
477,2017-12-31T02:31:39Z,-33.35760000,147.92391667,0.00,990.11905433863,-11448.19741860048,8,1,186.012,
478,2017-12-31T02:31:44Z,-33.35765000,147.92315000,0.00,995.11905433863,-11443.19741860048,9,1,186.011,
479,2017-12-31T02:31:49Z,-33.35763333,147.92236667,0.00,1000.11905433863,-11438.19741860048,10,1,186.018,
480,2017-12-31T02:31:54Z,-33.35760000,147.92163333,0.00,1005.11905433863,-11433.19741860048,11,1,186.026,
481,2017-12-31T02:31:59Z,-33.35753333,147.92090000,0.00,1010.11905433863,-11428.19741860048,12,1,186.038,
482,2017-12-31T02:32:04Z,-33.35738333,147.92021667,0.00,1015.11905433863,-11423.19741860048,13,1,186.059,
483,2017-12-31T02:32:09Z,-33.35713333,147.91953333,0.00,1020.11905433863,-11418.19741860048,14,1,186.092,
484,2017-12-31T02:32:14Z,-33.35675000,147.91886667,0.00,1025.11905433863,-11413.19741860048,15,1,186.139,
485,2017-12-31T02:32:19Z,-33.35616667,147.91853333,0.00,1030.11905433863,-11408.19741860048,16,1,186.205,
486,2017-12-31T02:32:24Z,-33.35553333,147.91841667,0.00,1035.11905433863,-11403.19741860048,17,1,186.276,
487,2017-12-31T02:32:29Z,-33.35483333,147.91841667,0.00,1040.11905433863,-11398.19741860048,18,1,186.354,
488,2017-12-31T02:32:34Z,-33.35418333,147.91860000,0.00,1045.11905433863,-11393.19741860048,19,1,186.425,
489,2017-12-31T02:32:39Z,-33.35346667,147.91876667,0.00,1050.11905433863,-11388.19741860048,20,1,186.503,
