fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
6,2018-01-01T01:45:43Z,-33.35578333,147.93375000,288.00,-2582.36835547723,-14881.366049664803,1,0,195.582,
7,2018-01-01T01:46:14Z,-33.35585000,147.93373333,288.00,-2551.36835547723,-14850.366049664803,2,0,195.589,
8,2018-01-01T01:46:44Z,-33.35583333,147.93373333,289.00,-2521.36835547723,-14820.366049664803,3,0,195.587,
9,2018-01-01T01:47:14Z,-33.35583333,147.93373333,289.00,-2491.36835547723,-14790.366049664803,4,0,195.587,
10,2018-01-01T01:47:44Z,-33.35626667,147.93308333,291.00,-2461.36835547723,-14760.366049664803,5,0,195.664,
11,2018-01-01T01:48:14Z,-33.35963333,147.92916667,359.00,-2431.36835547723,-14730.366049664803,1,1,196.186,
12,2018-01-01T01:48:19Z,-33.35985000,147.92836667,373.00,-2426.36835547723,-14725.366049664803,2,1,196.256,
13,2018-01-01T01:48:24Z,-33.36001667,147.92758333,394.00,-2421.36835547723,-14720.366049664803,3,1,196.321,
14,2018-01-01T01:48:29Z,-33.36011667,147.92673333,413.00,-2416.36835547723,-14715.366049664803,4,1,196.385,
15,2018-01-01T01:48:34Z,-33.36028333,147.92583333,428.00,-2411.36835547723,-14710.366049664803,5,1,196.457,
16,2018-01-01T01:48:39Z,-33.36046667,147.92500000,465.00,-2406.36835547723,-14705.366049664803,6,1,196.527,
17,2018-01-01T01:48:44Z,-33.36066667,147.92413333,483.00,-2401.36835547723,-14700.366049664803,7,1,196.599,
18,2018-01-01T01:48:49Z,-33.36083333,147.92333333,505.00,-2396.36835547723,-14695.366049664803,8,1,196.665,
19,2018-01-01T01:48:54Z,-33.36090000,147.92266667,541.00,-2391.36835547723,-14690.366049664803,9,1,196.715,
20,2018-01-01T01:48:59Z,-33.36105000,147.92210000,559.00,-2386.36835547723,-14685.366049664803,10,1,196.764,
21,2018-01-01T01:49:04Z,-33.36130000,147.92153333,566.00,-2381.36835547723,-14680.366049664803,11,1,196.821,
22,2018-01-01T01:49:09Z,-33.36151667,147.92095000,572.00,-2376.36835547723,-14675.366049664803,12,1,196.876,
23,2018-01-01T01:49:14Z,-33.36181667,147.92033333,572.00,-2371.36835547723,-14670.366049664803,13,1,196.941,
24,2018-01-01T01:49:19Z,-33.36210000,147.91966667,566.00,-2366.36835547723,-14665.366049664803,14,1,197.007,
25,2018-01-01T01:49:24Z,-33.36226667,147.91886667,565.00,-2361.36835547723,-14660.366049664803,15,1,197.073,
26,2018-01-01T01:49:29Z,-33.36250000,147.91793333,570.00,-2356.36835547723,-14655.366049664803,16,1,197.153,
27,2018-01-01T01:49:34Z,-33.36278333,147.91733333,580.00,-2351.36835547723,-14650.366049664803,17,1,197.215,
28,2018-01-01T01:49:39Z,-33.36308333,147.91673333,587.00,-2346.36835547723,-14645.366049664803,18,1,197.278,
29,2018-01-01T01:49:44Z,-33.36350000,147.91625000,591.00,-2341.36835547723,-14640.366049664803,19,1,197.342,
30,2018-01-01T01:49:49Z,-33.36393333,147.91580000,598.00,-2336.36835547723,-14635.366049664803,20,1,197.406,
31,2018-01-01T01:49:54Z,-33.36441667,147.91540000,599.00,-2331.36835547723,-14630.366049664803,21,1,197.47,
32,2018-01-01T01:49:59Z,-33.36495000,147.91506667,592.00,-2326.36835547723,-14625.366049664803,22,1,197.534,
33,2018-01-01T01:50:04Z,-33.36555000,147.91493333,591.00,-2321.36835547723,-14620.366049664803,23,1,197.589,
34,2018-01-01T01:50:09Z,-33.36620000,147.91495000,600.00,-2316.36835547723,-14615.366049664803,24,1,197.639,
35,2018-01-01T01:50:14Z,-33.36683333,147.91533333,607.00,-2311.36835547723,-14610.366049664803,25,1,197.663,
36,2018-01-01T01:50:19Z,-33.36748333,147.91596667,610.00,-2306.36835547723,-14605.366049664803,26,1,197.672,
37,2018-01-01T01:50:24Z,-33.36810000,147.91680000,609.00,-2301.36835547723,-14600.366049664803,27,1,197.665,
38,2018-01-01T01:50:29Z,-33.36870000,147.91768333,621.00,-2296.36835547723,-14595.366049664803,28,1,197.653,
39,2018-01-01T01:50:34Z,-33.36930000,147.91866667,614.00,-2291.36835547723,-14590.366049664803,29,1,197.635,
40,2018-01-01T01:50:39Z,-33.36975000,147.91983333,619.00,-2286.36835547723,-14585.366049664803,30,1,197.594,
