fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,2018-01-02T01:27:27Z,-33.35555000,147.93386667,302.00,-1960.570013635875,-21056.88084557771,1,0,389.081,
2,2018-01-02T01:27:57Z,-33.35560000,147.93385000,303.00,-1930.570013635875,-21026.88084557771,2,0,389.086,
3,2018-01-02T01:28:27Z,-33.35560000,147.93385000,302.00,-1900.570013635875,-20996.88084557771,3,0,389.086,
4,2018-01-02T01:28:57Z,-33.35560000,147.93380000,303.00,-1870.570013635875,-20966.88084557771,4,0,389.089,
5,2018-01-02T01:29:27Z,-33.35560000,147.93380000,304.00,-1840.570013635875,-20936.88084557771,5,0,389.089,
6,2018-01-02T01:29:57Z,-33.35560000,147.93375000,304.00,-1810.570013635875,-20906.88084557771,6,0,389.092,
7,2018-01-02T01:30:27Z,-33.35561667,147.93375000,303.00,-1780.570013635875,-20876.88084557771,7,0,389.093,
8,2018-01-02T01:30:57Z,-33.35561667,147.93375000,304.00,-1750.570013635875,-20846.88084557771,8,0,389.093,
9,2018-01-02T01:31:27Z,-33.35561667,147.93375000,303.00,-1720.570013635875,-20816.88084557771,9,0,389.093,
10,2018-01-02T01:31:58Z,-33.35568333,147.93318333,308.00,-1689.570013635875,-20785.88084557771,10,0,389.135,
11,2018-01-02T01:32:28Z,-33.35630000,147.92978333,364.00,-1659.570013635875,-20755.88084557771,11,0,389.401,
12,2018-01-02T01:32:38Z,-33.35658333,147.92873333,380.00,-1649.570013635875,-20745.88084557771,1,1,389.49,
13,2018-01-02T01:32:48Z,-33.35708333,147.92771667,393.00,-1639.570013635875,-20735.88084557771,2,1,389.596,
14,2018-01-02T01:32:58Z,-33.35783333,147.92670000,411.00,-1629.570013635875,-20725.88084557771,3,1,389.721,
15,2018-01-02T01:33:08Z,-33.35878333,147.92580000,434.00,-1619.570013635875,-20715.88084557771,4,1,389.855,
16,2018-01-02T01:33:18Z,-33.35958333,147.92493333,452.00,-1609.570013635875,-20705.88084557771,5,1,389.975,
17,2018-01-02T01:33:28Z,-33.36020000,147.92393333,469.00,-1599.570013635875,-20695.88084557771,6,1,390.089,
18,2018-01-02T01:33:38Z,-33.36068333,147.92280000,480.00,-1589.570013635875,-20685.88084557771,7,1,390.2,
19,2018-01-02T01:33:48Z,-33.36115000,147.92160000,513.00,-1579.570013635875,-20675.88084557771,8,1,390.314,
20,2018-01-02T01:33:58Z,-33.36166667,147.92036667,517.00,-1569.570013635875,-20665.88084557771,9,1,390.434,
21,2018-01-02T01:34:08Z,-33.36218333,147.91906667,543.00,-1559.570013635875,-20655.88084557771,10,1,390.559,
22,2018-01-02T01:34:18Z,-33.36310000,147.91776667,551.00,-1549.570013635875,-20645.88084557771,11,1,390.716,
23,2018-01-02T01:34:28Z,-33.36400000,147.91656667,570.00,-1539.570013635875,-20635.88084557771,12,1,390.865,
24,2018-01-02T01:34:38Z,-33.36496667,147.91556667,603.00,-1529.570013635875,-20625.88084557771,13,1,391.007,
25,2018-01-02T01:34:48Z,-33.36601667,147.91475000,622.00,-1519.570013635875,-20615.88084557771,14,1,391.144,
26,2018-01-02T01:34:58Z,-33.36720000,147.91413333,650.00,-1509.570013635875,-20605.88084557771,15,1,391.279,
27,2018-01-02T01:35:08Z,-33.36863333,147.91376667,675.00,-1499.570013635875,-20595.88084557771,16,1,391.419,
28,2018-01-02T01:35:18Z,-33.36991667,147.91308333,710.00,-1489.570013635875,-20585.88084557771,17,1,391.566,
29,2018-01-02T01:35:28Z,-33.37115000,147.91225000,750.00,-1479.570013635875,-20575.88084557771,18,1,391.719,
30,2018-01-02T01:35:38Z,-33.37231667,147.91133333,790.00,-1469.570013635875,-20565.88084557771,19,1,391.872,
31,2018-01-02T01:35:48Z,-33.37326667,147.91041667,836.00,-1459.570013635875,-20555.88084557771,20,1,392.007,
32,2018-01-02T01:35:58Z,-33.37391667,147.91060000,834.00,-1449.570013635875,-20545.88084557771,21,1,392.048,
33,2018-01-02T01:36:08Z,-33.37323333,147.91213333,819.00,-1439.570013635875,-20535.88084557771,22,1,391.895,
34,2018-01-02T01:36:18Z,-33.37170000,147.91330000,827.00,-1429.570013635875,-20525.88084557771,23,1,391.697,
35,2018-01-02T01:36:28Z,-33.37063333,147.91498333,819.00,-1419.570013635875,-20515.88084557771,24,1,391.504,
36,2018-01-02T01:36:38Z,-33.36991667,147.91696667,801.00,-1409.570013635875,-20505.88084557771,25,1,391.319,
37,2018-01-02T01:36:48Z,-33.36848333,147.91853333,797.00,-1399.570013635875,-20495.88084557771,26,1,391.104,
38,2018-01-02T01:36:58Z,-33.36751667,147.92013333,814.00,-1389.570013635875,-20485.88084557771,27,1,390.924,
39,2018-01-02T01:37:08Z,-33.36798333,147.92015000,835.00,-1379.570013635875,-20475.88084557771,28,1,390.96,
40,2018-01-02T01:37:18Z,-33.36770000,147.92170000,845.00,-1369.570013635875,-20465.88084557771,29,1,390.839,
41,2018-01-02T01:37:28Z,-33.36785000,147.92178333,856.00,-1359.570013635875,-20455.88084557771,30,1,390.846,
42,2018-01-02T01:37:38Z,-33.36725000,147.92226667,873.00,-1349.570013635875,-20445.88084557771,31,1,390.767,
43,2018-01-02T01:37:48Z,-33.36751667,147.92356667,876.00,-1339.570013635875,-20435.88084557771,32,1,390.706,
44,2018-01-02T01:37:58Z,-33.36723333,147.92393333,892.00,-1329.570013635875,-20425.88084557771,33,1,390.66,
45,2018-01-02T01:38:08Z,-33.36630000,147.92460000,913.00,-1319.570013635875,-20415.88084557771,34,1,390.541,
46,2018-01-02T01:38:18Z,-33.36633333,147.92563333,926.00,-1309.570013635875,-20405.88084557771,35,1,390.479,
47,2018-01-02T01:38:28Z,-33.36611667,147.92600000,947.00,-1299.570013635875,-20395.88084557771,36,1,390.438,
48,2018-01-02T01:38:38Z,-33.36570000,147.92613333,971.00,-1289.570013635875,-20385.88084557771,37,1,390.395,
49,2018-01-02T01:38:48Z,-33.36488333,147.92708333,989.00,-1279.570013635875,-20375.88084557771,38,1,390.269,
50,2018-01-02T01:38:58Z,-33.36505000,147.92733333,997.00,-1269.570013635875,-20365.88084557771,39,1,390.267,
51,2018-01-02T01:39:08Z,-33.36361667,147.92780000,1012.00,-1259.570013635875,-20355.88084557771,40,1,390.121,
52,2018-01-02T01:39:18Z,-33.36356667,147.92778333,1008.00,-1249.570013635875,-20345.88084557771,41,1,390.118,
53,2018-01-02T01:39:28Z,-33.36403333,147.92953333,1014.00,-1239.570013635875,-20335.88084557771,42,1,390.044,
54,2018-01-02T01:39:39Z,-33.36365000,147.92976667,1029.00,-1228.570013635875,-20324.88084557771,43,1,389.998,
55,2018-01-02T01:39:49Z,-33.36323333,147.93021667,1047.00,-1218.570013635875,-20314.88084557771,44,1,389.936,
56,2018-01-02T01:39:59Z,-33.36298333,147.93131667,1057.00,-1208.570013635875,-20304.88084557771,45,1,389.846,
57,2018-01-02T01:40:09Z,-33.36290000,147.93165000,1072.00,-1198.570013635875,-20294.88084557771,46,1,389.818,
58,2018-01-02T01:40:19Z,-33.36258333,147.93146667,1081.00,-1188.570013635875,-20284.88084557771,47,1,389.804,
59,2018-01-02T01:40:29Z,-33.36181667,147.93313333,1093.00,-1178.570013635875,-20274.88084557771,48,1,389.636,
60,2018-01-02T01:40:39Z,-33.36195000,147.93343333,1104.00,-1168.570013635875,-20264.88084557771,49,1,389.628,
61,2018-01-02T01:40:49Z,-33.36103333,147.93385000,1118.00,-1158.570013635875,-20254.88084557771,50,1,389.527,
62,2018-01-02T01:40:59Z,-33.36101667,147.93495000,1136.00,-1148.570013635875,-20244.88084557771,51,1,389.456,
63,2018-01-02T01:41:09Z,-33.36036667,147.93453333,1142.00,-1138.570013635875,-20234.88084557771,52,1,389.429,
64,2018-01-02T01:41:19Z,-33.36081667,147.93553333,1155.00,-1128.570013635875,-20224.88084557771,53,1,389.403,
65,2018-01-02T01:41:29Z,-33.36016667,147.93568333,1178.00,-1118.570013635875,-20214.88084557771,54,1,389.34,
66,2018-01-02T01:41:39Z,-33.35963333,147.93621667,1203.00,-1108.570013635875,-20204.88084557771,55,1,389.263,
67,2018-01-02T01:41:49Z,-33.35898333,147.93700000,1223.00,-1098.570013635875,-20194.88084557771,56,1,389.161,
68,2018-01-02T01:41:59Z,-33.35865000,147.93786667,1247.00,-1088.570013635875,-20184.88084557771,57,1,389.079,
69,2018-01-02T01:42:09Z,-33.35856667,147.93805000,1264.00,-1078.570013635875,-20174.88084557771,58,1,389.06,
70,2018-01-02T01:42:19Z,-33.35756667,147.93850000,1283.00,-1068.570013635875,-20164.88084557771,59,1,388.95,
71,2018-01-02T01:42:29Z,-33.35806667,147.93940000,1303.00,-1058.570013635875,-20154.88084557771,60,1,388.934,
72,2018-01-02T01:42:39Z,-33.35728333,147.93961667,1322.00,-1048.570013635875,-20144.88084557771,61,1,388.857,
