leg,time,lat,lng,tickLead,tickRace,distance
0,2018-01-02T01:46:01Z,-33.35561667,147.93368333,-841.0,-20008.0,390.097
0,2018-01-02T01:46:06Z,-33.35565000,147.93310000,-836.0,-20003.0,390.137
0,2018-01-02T01:46:11Z,-33.35568333,147.93230000,-831.0,-19998.0,390.191
0,2018-01-02T01:46:16Z,-33.35563333,147.93151667,-826.0,-19993.0,390.236
0,2018-01-02T01:46:21Z,-33.35566667,147.93076667,-821.0,-19988.0,390.287
0,2018-01-02T01:46:26Z,-33.35560000,147.93008333,-816.0,-19983.0,390.325
1,2018-01-02T01:46:31Z,-33.35560000,147.92936667,-811.0,-19978.0,390.37
1,2018-01-02T01:46:36Z,-33.35568333,147.92866667,-806.0,-19973.0,390.422
1,2018-01-02T01:46:41Z,-33.35576667,147.92806667,-801.0,-19968.0,390.466
1,2018-01-02T01:46:46Z,-33.35578333,147.92766667,-796.0,-19963.0,390.493
1,2018-01-02T01:46:51Z,-33.35581667,147.92731667,-791.0,-19958.0,390.518
1,2018-01-02T01:46:56Z,-33.35588333,147.92691667,-786.0,-19953.0,390.549
1,2018-01-02T01:47:01Z,-33.35601667,147.92646667,-781.0,-19948.0,390.588
1,2018-01-02T01:47:06Z,-33.35608333,147.92606667,-776.0,-19943.0,390.619
1,2018-01-02T01:47:11Z,-33.35616667,147.92568333,-771.0,-19938.0,390.65
1,2018-01-02T01:47:17Z,-33.35628333,147.92530000,-765.0,-19932.0,390.684
1,2018-01-02T01:47:22Z,-33.35638333,147.92493333,-760.0,-19927.0,390.716
1,2018-01-02T01:47:27Z,-33.35646667,147.92460000,-755.0,-19922.0,390.744
1,2018-01-02T01:47:32Z,-33.35651667,147.92420000,-750.0,-19917.0,390.773
1,2018-01-02T01:47:37Z,-33.35650000,147.92386667,-745.0,-19912.0,390.793
1,2018-01-02T01:47:42Z,-33.35651667,147.92346667,-740.0,-19907.0,390.82
1,2018-01-02T01:47:47Z,-33.35650000,147.92296667,-735.0,-19902.0,390.85
1,2018-01-02T01:47:52Z,-33.35651667,147.92256667,-730.0,-19897.0,390.877
1,2018-01-02T01:47:57Z,-33.35661667,147.92215000,-725.0,-19892.0,390.912
