leg,time,lat,lng,tickLead,tickRace,distance
0,2018-01-03T03:35:17Z,-33.35595000,147.93420000,-2385.0,-6875.0,154.29
0,2018-01-03T03:35:47Z,-33.35598333,147.93416667,-2355.0,-6845.0,154.295
0,2018-01-03T03:36:17Z,-33.35596667,147.93416667,-2325.0,-6815.0,154.293
0,2018-01-03T03:36:47Z,-33.35598333,147.93418333,-2295.0,-6785.0,154.294
0,2018-01-03T03:37:18Z,-33.35596667,147.93418333,-2264.0,-6754.0,154.292
0,2018-01-03T03:37:48Z,-33.35623333,147.93381667,-2234.0,-6724.0,154.333
0,2018-01-03T03:38:18Z,-33.35836667,147.93103333,-2204.0,-6694.0,154.652
0,2018-01-03T03:38:20Z,-33.35850000,147.93080000,-2202.0,-6692.0,154.674
1,2018-01-03T03:38:22Z,-33.35863333,147.93056667,-2200.0,-6690.0,154.696
1,2018-01-03T03:38:24Z,-33.35876667,147.93033333,-2198.0,-6688.0,154.718
1,2018-01-03T03:38:26Z,-33.35891667,147.93011667,-2196.0,-6686.0,154.742
1,2018-01-03T03:38:28Z,-33.35908333,147.92990000,-2194.0,-6684.0,154.767
1,2018-01-03T03:38:30Z,-33.35923333,147.92970000,-2192.0,-6682.0,154.789
1,2018-01-03T03:38:32Z,-33.35940000,147.92948333,-2190.0,-6680.0,154.814
1,2018-01-03T03:38:34Z,-33.35955000,147.92925000,-2188.0,-6678.0,154.838
1,2018-01-03T03:38:36Z,-33.35968333,147.92896667,-2186.0,-6676.0,154.862
1,2018-01-03T03:38:38Z,-33.35985000,147.92873333,-2184.0,-6674.0,154.888
1,2018-01-03T03:38:40Z,-33.36003333,147.92850000,-2182.0,-6672.0,154.915
1,2018-01-03T03:38:42Z,-33.36020000,147.92825000,-2180.0,-6670.0,154.941
1,2018-01-03T03:38:44Z,-33.36036667,147.92801667,-2178.0,-6668.0,154.966
1,2018-01-03T03:38:46Z,-33.36053333,147.92778333,-2176.0,-6666.0,154.992
1,2018-01-03T03:38:48Z,-33.36070000,147.92755000,-2174.0,-6664.0,155.018
1,2018-01-03T03:38:50Z,-33.36085000,147.92735000,-2172.0,-6662.0,155.04
1,2018-01-03T03:38:52Z,-33.36098333,147.92710000,-2170.0,-6660.0,155.063
1,2018-01-03T03:38:54Z,-33.36110000,147.92683333,-2168.0,-6658.0,155.085
1,2018-01-03T03:38:56Z,-33.36125000,147.92660000,-2166.0,-6656.0,155.109
1,2018-01-03T03:38:58Z,-33.36143333,147.92638333,-2164.0,-6654.0,155.135
1,2018-01-03T03:39:00Z,-33.36158333,147.92613333,-2162.0,-6652.0,155.16
1,2018-01-03T03:39:02Z,-33.36173333,147.92588333,-2160.0,-6650.0,155.184
1,2018-01-03T03:39:04Z,-33.36193333,147.92571667,-2158.0,-6648.0,155.211
