fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
4,2018-01-03T03:25:49Z,-33.35561667,147.93390000,250.00,-2954.892648256849,-7442.5925503603,1,0,154.265,
5,2018-01-03T03:26:19Z,-33.35561667,147.93390000,249.00,-2924.892648256849,-7412.5925503603,2,0,154.265,
6,2018-01-03T03:26:49Z,-33.35561667,147.93388333,250.00,-2894.892648256849,-7382.5925503603,3,0,154.266,
7,2018-01-03T03:27:19Z,-33.35560000,147.93390000,250.00,-2864.892648256849,-7352.5925503603,4,0,154.264,
8,2018-01-03T03:27:49Z,-33.35561667,147.93386667,250.00,-2834.892648256849,-7322.5925503603,5,0,154.267,
9,2018-01-03T03:28:19Z,-33.35561667,147.93386667,250.00,-2804.892648256849,-7292.5925503603,6,0,154.267,
10,2018-01-03T03:28:49Z,-33.35565000,147.93376667,249.00,-2774.892648256849,-7262.5925503603,7,0,154.274,
11,2018-01-03T03:29:19Z,-33.35656667,147.92973333,305.00,-2744.892648256849,-7232.5925503603,8,0,154.514,
12,2018-01-03T03:29:21Z,-33.35660000,147.92945000,316.00,-2742.892648256849,-7230.5925503603,9,0,154.528,
13,2018-01-03T03:29:23Z,-33.35663333,147.92916667,320.00,-2740.892648256849,-7228.5925503603,1,1,154.542,
14,2018-01-03T03:29:25Z,-33.35668333,147.92888333,330.00,-2738.892648256849,-7226.5925503603,2,1,154.557,
15,2018-01-03T03:29:27Z,-33.35675000,147.92863333,339.00,-2736.892648256849,-7224.5925503603,3,1,154.573,
16,2018-01-03T03:29:29Z,-33.35683333,147.92840000,351.00,-2734.892648256849,-7222.5925503603,4,1,154.59,
17,2018-01-03T03:29:31Z,-33.35691667,147.92815000,358.00,-2732.892648256849,-7220.5925503603,5,1,154.608,
18,2018-01-03T03:29:33Z,-33.35701667,147.92793333,367.00,-2730.892648256849,-7218.5925503603,6,1,154.626,
19,2018-01-03T03:29:35Z,-33.35713333,147.92773333,378.00,-2728.892648256849,-7216.5925503603,7,1,154.645,
20,2018-01-03T03:29:37Z,-33.35725000,147.92751667,384.00,-2726.892648256849,-7214.5925503603,8,1,154.665,
21,2018-01-03T03:29:39Z,-33.35735000,147.92726667,388.00,-2724.892648256849,-7212.5925503603,9,1,154.685,
22,2018-01-03T03:29:41Z,-33.35745000,147.92703333,392.00,-2722.892648256849,-7210.5925503603,10,1,154.703,
23,2018-01-03T03:29:43Z,-33.35760000,147.92680000,398.00,-2720.892648256849,-7208.5925503603,11,1,154.727,
24,2018-01-03T03:29:45Z,-33.35775000,147.92655000,412.00,-2718.892648256849,-7206.5925503603,12,1,154.752,
25,2018-01-03T03:29:47Z,-33.35791667,147.92633333,420.00,-2716.892648256849,-7204.5925503603,13,1,154.777,
26,2018-01-03T03:29:49Z,-33.35808333,147.92611667,425.00,-2714.892648256849,-7202.5925503603,14,1,154.802,
27,2018-01-03T03:29:51Z,-33.35823333,147.92586667,433.00,-2712.892648256849,-7200.5925503603,15,1,154.826,
28,2018-01-03T03:29:53Z,-33.35836667,147.92566667,440.00,-2710.892648256849,-7198.5925503603,16,1,154.847,
29,2018-01-03T03:29:55Z,-33.35850000,147.92541667,442.00,-2708.892648256849,-7196.5925503603,17,1,154.87,
30,2018-01-03T03:29:57Z,-33.35863333,147.92520000,449.00,-2706.892648256849,-7194.5925503603,18,1,154.892,
31,2018-01-03T03:29:59Z,-33.35876667,147.92493333,451.00,-2704.892648256849,-7192.5925503603,19,1,154.915,
32,2018-01-03T03:30:01Z,-33.35893333,147.92471667,456.00,-2702.892648256849,-7190.5925503603,20,1,154.94,
33,2018-01-03T03:30:03Z,-33.35908333,147.92446667,462.00,-2700.892648256849,-7188.5925503603,21,1,154.965,
34,2018-01-03T03:30:05Z,-33.35921667,147.92420000,469.00,-2698.892648256849,-7186.5925503603,22,1,154.988,
35,2018-01-03T03:30:07Z,-33.35931667,147.92393333,477.00,-2696.892648256849,-7184.5925503603,23,1,155.008,
36,2018-01-03T03:30:09Z,-33.35943333,147.92366667,487.00,-2694.892648256849,-7182.5925503603,24,1,155.03,
37,2018-01-03T03:30:11Z,-33.35955000,147.92340000,498.00,-2692.892648256849,-7180.5925503603,25,1,155.052,
38,2018-01-03T03:30:13Z,-33.35965000,147.92311667,504.00,-2690.892648256849,-7178.5925503603,26,1,155.072,
39,2018-01-03T03:30:15Z,-33.35973333,147.92280000,503.00,-2688.892648256849,-7176.5925503603,27,1,155.092,
40,2018-01-03T03:30:17Z,-33.35983333,147.92248333,508.00,-2686.892648256849,-7174.5925503603,28,1,155.114,
41,2018-01-03T03:30:19Z,-33.36000000,147.92226667,514.00,-2684.892648256849,-7172.5925503603,29,1,155.139,
42,2018-01-03T03:30:21Z,-33.36016667,147.92200000,518.00,-2682.892648256849,-7170.5925503603,30,1,155.166,
43,2018-01-03T03:30:23Z,-33.36031667,147.92178333,520.00,-2680.892648256849,-7168.5925503603,31,1,155.19,
44,2018-01-03T03:30:25Z,-33.36050000,147.92155000,521.00,-2678.892648256849,-7166.5925503603,32,1,155.217,
45,2018-01-03T03:30:27Z,-33.36068333,147.92135000,523.00,-2676.892648256849,-7164.5925503603,33,1,155.243,
46,2018-01-03T03:30:29Z,-33.36088333,147.92113333,523.00,-2674.892648256849,-7162.5925503603,34,1,155.271,
47,2018-01-03T03:30:31Z,-33.36108333,147.92095000,526.00,-2672.892648256849,-7160.5925503603,35,1,155.299,
48,2018-01-03T03:30:33Z,-33.36130000,147.92076667,533.00,-2670.892648256849,-7158.5925503603,36,1,155.328,
49,2018-01-03T03:30:35Z,-33.36150000,147.92060000,536.00,-2668.892648256849,-7156.5925503603,37,1,155.354,
50,2018-01-03T03:30:37Z,-33.36173333,147.92041667,538.00,-2666.892648256849,-7154.5925503603,38,1,155.385,
51,2018-01-03T03:30:39Z,-33.36198333,147.92026667,550.00,-2664.892648256849,-7152.5925503603,39,1,155.416,
52,2018-01-03T03:30:41Z,-33.36221667,147.92013333,563.00,-2662.892648256849,-7150.5925503603,40,1,155.444,
53,2018-01-03T03:30:43Z,-33.36243333,147.91996667,572.00,-2660.892648256849,-7148.5925503603,41,1,155.473,
54,2018-01-03T03:30:45Z,-33.36268333,147.91980000,577.00,-2658.892648256849,-7146.5925503603,42,1,155.504,
55,2018-01-03T03:30:47Z,-33.36293333,147.91961667,583.00,-2656.892648256849,-7144.5925503603,43,1,155.537,
56,2018-01-03T03:30:49Z,-33.36321667,147.91945000,589.00,-2654.892648256849,-7142.5925503603,44,1,155.572,
57,2018-01-03T03:30:51Z,-33.36350000,147.91930000,596.00,-2652.892648256849,-7140.5925503603,45,1,155.606,
58,2018-01-03T03:30:53Z,-33.36376667,147.91913333,598.00,-2650.892648256849,-7138.5925503603,46,1,155.64,
59,2018-01-03T03:30:55Z,-33.36403333,147.91896667,602.00,-2648.892648256849,-7136.5925503603,47,1,155.673,
60,2018-01-03T03:30:57Z,-33.36428333,147.91883333,609.00,-2646.892648256849,-7134.5925503603,48,1,155.703,
61,2018-01-03T03:30:59Z,-33.36451667,147.91871667,617.00,-2644.892648256849,-7132.5925503603,49,1,155.732,
62,2018-01-03T03:31:01Z,-33.36473333,147.91856667,623.00,-2642.892648256849,-7130.5925503603,50,1,155.759,
63,2018-01-03T03:31:03Z,-33.36493333,147.91846667,629.00,-2640.892648256849,-7128.5925503603,51,1,155.783,
64,2018-01-03T03:31:05Z,-33.36515000,147.91831667,627.00,-2638.892648256849,-7126.5925503603,52,1,155.811,
65,2018-01-03T03:31:07Z,-33.36538333,147.91820000,644.00,-2636.892648256849,-7124.5925503603,53,1,155.839,
66,2018-01-03T03:31:09Z,-33.36561667,147.91808333,654.00,-2634.892648256849,-7122.5925503603,54,1,155.867,
67,2018-01-03T03:31:11Z,-33.36565000,147.91788333,660.00,-2632.892648256849,-7120.5925503603,55,1,155.878,
68,2018-01-03T03:31:13Z,-33.36555000,147.91771667,655.00,-2630.892648256849,-7118.5925503603,56,1,155.874,
69,2018-01-03T03:31:15Z,-33.36530000,147.91751667,647.00,-2628.892648256849,-7116.5925503603,57,1,155.856,
70,2018-01-03T03:31:17Z,-33.36488333,147.91746667,643.00,-2626.892648256849,-7114.5925503603,58,1,155.815,
71,2018-01-03T03:31:19Z,-33.36445000,147.91766667,650.00,-2624.892648256849,-7112.5925503603,59,1,155.764,
72,2018-01-03T03:31:21Z,-33.36413333,147.91800000,657.00,-2622.892648256849,-7110.5925503603,60,1,155.719,
73,2018-01-03T03:31:23Z,-33.36388333,147.91836667,655.00,-2620.892648256849,-7108.5925503603,61,1,155.68,
74,2018-01-03T03:31:25Z,-33.36366667,147.91881667,652.00,-2618.892648256849,-7106.5925503603,62,1,155.641,
75,2018-01-03T03:31:27Z,-33.36356667,147.91936667,650.00,-2616.892648256849,-7104.5925503603,63,1,155.611,
76,2018-01-03T03:31:29Z,-33.36355000,147.91986667,649.00,-2614.892648256849,-7102.5925503603,64,1,155.59,
77,2018-01-03T03:31:31Z,-33.36360000,147.92036667,651.00,-2612.892648256849,-7100.5925503603,65,1,155.577,
78,2018-01-03T03:31:33Z,-33.36361667,147.92085000,653.00,-2610.892648256849,-7098.5925503603,66,1,155.561,
