leg,time,lat,lng,tickLead,tickRace,distance
0,2018-01-04T01:43:20Z,-33.35625000,147.93418333,-3978.0,-12071.0,166.79
0,2018-01-04T01:43:50Z,-33.35620000,147.93415000,-3948.0,-12041.0,166.796
0,2018-01-04T01:44:20Z,-33.35618333,147.93413333,-3918.0,-12011.0,166.799
0,2018-01-04T01:44:51Z,-33.35616667,147.93410000,-3887.0,-11980.0,166.802
0,2018-01-04T01:45:21Z,-33.35620000,147.93411667,-3857.0,-11950.0,166.798
0,2018-01-04T01:45:51Z,-33.35623333,147.93415000,-3827.0,-11920.0,166.793
0,2018-01-04T01:46:22Z,-33.35621667,147.93410000,-3796.0,-11889.0,166.797
0,2018-01-04T01:46:52Z,-33.35626667,147.93406667,-3766.0,-11859.0,166.793
0,2018-01-04T01:47:22Z,-33.35618333,147.93405000,-3736.0,-11829.0,166.802
0,2018-01-04T01:47:52Z,-33.35746667,147.93205000,-3706.0,-11799.0,166.743
0,2018-01-04T01:47:55Z,-33.35780000,147.93143333,-3703.0,-11796.0,166.732
0,2018-01-04T01:47:59Z,-33.35815000,147.93088333,-3699.0,-11792.0,166.716
1,2018-01-04T01:48:02Z,-33.35853333,147.93035000,-3696.0,-11789.0,166.697
1,2018-01-04T01:48:05Z,-33.35891667,147.92981667,-3693.0,-11786.0,166.678
1,2018-01-04T01:48:08Z,-33.35930000,147.92926667,-3690.0,-11783.0,166.659
1,2018-01-04T01:48:11Z,-33.35956667,147.92865000,-3687.0,-11780.0,166.655
1,2018-01-04T01:48:14Z,-33.35981667,147.92798333,-3684.0,-11777.0,166.654
1,2018-01-04T01:48:17Z,-33.36008333,147.92733333,-3681.0,-11774.0,166.651
1,2018-01-04T01:48:20Z,-33.36040000,147.92670000,-3678.0,-11771.0,166.643
1,2018-01-04T01:48:23Z,-33.36081667,147.92615000,-3675.0,-11768.0,166.621
1,2018-01-04T01:48:26Z,-33.36123333,147.92558333,-3672.0,-11765.0,166.6
1,2018-01-04T01:48:29Z,-33.36161667,147.92503333,-3669.0,-11762.0,166.582
1,2018-01-04T01:48:32Z,-33.36203333,147.92446667,-3666.0,-11759.0,166.562
1,2018-01-04T01:48:35Z,-33.36241667,147.92385000,-3663.0,-11756.0,166.546
1,2018-01-04T01:48:38Z,-33.36275000,147.92323333,-3660.0,-11753.0,166.536
