fixIdx,tickLead,togo,area
28,-2402.08165957093,195.613,0.0
53,-2276.08165957093,195.568,0.0
54,-2271.08165957093,195.529,0.0
59,-2246.08165957093,195.509,0.0
60,-2241.08165957093,195.48,0.0
62,-2231.08165957093,195.45,0.0
63,-2226.08165957093,195.36,0.0
64,-2221.08165957093,195.321,0.0
68,-2201.08165957093,195.312,0.0
69,-2196.08165957093,195.222,0.0
70,-2191.08165957093,195.207,0.0
75,-2166.08165957093,195.148,0.0
76,-2161.08165957093,195.059,0.0
77,-2156.08165957093,195.04,0.0
81,-2136.08165957093,195.012,0.0
82,-2131.08165957093,194.917,0.0
83,-2126.08165957093,194.856,0.0
86,-2111.08165957093,194.843,0.0
87,-2105.08165957093,194.753,0.0
88,-2100.08165957093,194.748,0.0
91,-2085.08165957093,194.731,0.0
92,-2080.08165957093,194.639,0.0
93,-2075.08165957093,194.565,0.0
94,-2070.08165957093,194.52,0.0
97,-2055.08165957093,194.499,0.0
98,-2050.08165957093,194.398,0.0
99,-2045.08165957093,194.333,0.0
102,-2030.08165957093,194.256,0.0
103,-2025.08165957093,194.155,0.0
104,-2020.08165957093,194.048,0.0
105,-2015.08165957093,193.944,0.0
106,-2010.08165957093,193.862,0.0
107,-2005.08165957093,193.822,0.0
108,-2000.08165957093,193.8,0.0
109,-1995.08165957093,193.796,0.0
119,-1945.08165957093,193.728,0.0
120,-1940.08165957093,193.63,0.0
121,-1935.08165957093,193.558,0.0
122,-1930.08165957093,193.47,0.0
123,-1925.08165957093,193.377,0.0
124,-1920.08165957093,193.322,0.0
128,-1900.08165957093,193.296,0.0
129,-1895.08165957093,193.198,0.0
130,-1890.08165957093,193.118,0.0
131,-1885.08165957093,193.086,0.0
136,-1860.08165957093,193.077,0.0
137,-1855.08165957093,193.006,0.0
144,-1819.08165957093,192.908,0.0
145,-1814.08165957093,192.874,0.0
152,-1779.08165957093,192.798,0.0
153,-1774.08165957093,192.715,0.0
154,-1769.08165957093,192.627,0.0
155,-1764.08165957093,192.525,0.0
156,-1759.08165957093,192.417,0.0
157,-1754.08165957093,192.313,0.0
158,-1749.08165957093,192.245,0.0
159,-1744.08165957093,192.189,0.0
160,-1739.08165957093,192.14,0.0
161,-1734.08165957093,192.09,0.0
162,-1729.08165957093,192.035,0.0
163,-1724.08165957093,192.003,0.0
164,-1719.08165957093,191.98,0.0
165,-1714.08165957093,191.976,0.0
166,-1709.08165957093,191.959,0.0
167,-1704.08165957093,191.942,0.0
168,-1699.08165957093,191.933,0.0
169,-1694.08165957093,191.914,0.0
171,-1684.08165957093,191.904,0.0
172,-1679.08165957093,191.891,0.0
173,-1674.08165957093,191.872,0.0
174,-1669.08165957093,191.861,0.0
175,-1664.08165957093,191.852,0.0
176,-1659.08165957093,191.851,0.0
178,-1649.08165957093,191.842,0.0
179,-1644.08165957093,191.831,0.0
242,-1327.08165957093,191.795,0.0
245,-1312.08165957093,191.705,0.0
248,-1297.08165957093,191.634,0.0
249,-1292.08165957093,191.578,0.0
254,-1267.08165957093,191.546,0.0
255,-1262.08165957093,191.498,0.0
259,-1242.08165957093,191.477,0.0
260,-1237.08165957093,191.424,0.0
268,-1197.08165957093,191.39,0.0
269,-1192.08165957093,191.321,0.0
270,-1187.08165957093,191.251,0.0
271,-1182.08165957093,191.174,0.0
272,-1177.08165957093,191.101,0.0
273,-1172.08165957093,191.019,0.0
274,-1167.08165957093,190.942,0.0
275,-1162.08165957093,190.858,0.0
276,-1157.08165957093,190.776,0.0
277,-1151.08165957093,190.698,0.0
278,-1146.08165957093,190.638,0.0
279,-1141.08165957093,190.575,0.0
280,-1136.08165957093,190.476,0.0
281,-1131.08165957093,190.43,0.0
288,-1096.08165957093,190.425,0.0
289,-1091.08165957093,190.339,0.0
290,-1086.08165957093,190.236,0.0
291,-1081.08165957093,190.126,0.0
292,-1076.08165957093,190.047,0.0
299,-1041.08165957093,190.002,0.0
300,-1036.08165957093,189.905,0.0
301,-1031.08165957093,189.798,0.0
302,-1026.08165957093,189.692,0.0
303,-1021.08165957093,189.586,0.0
304,-1016.08165957093,189.475,0.0
305,-1011.08165957093,189.367,0.0
306,-1006.08165957093,189.265,0.0
307,-1001.08165957093,189.177,0.0
308,-996.08165957093,189.121,0.0
309,-991.08165957093,189.081,0.0
