fixIdx,legIdx,tickLead,togo,area
5433,2,933.775773883225,379.086,15575.630160273478
5434,2,934.775773883225,379.063,16300.084318474646
5435,2,935.775773883225,379.041,15607.137860241175
5436,2,936.775773883225,379.017,17043.12887036152
5437,2,937.775773883225,378.993,17060.241944670008
5438,2,938.775773883225,378.971,15654.281294857597
5439,2,939.775773883225,378.948,16382.30003963089
5440,2,940.775773883225,378.929,13546.854102486532
5441,2,941.775773883225,378.91,13560.573803337224
5442,2,942.775773883225,378.892,12859.872606025396
5443,2,943.775773883225,378.874,12872.901475283288
5444,2,944.775773883225,378.856,12885.929048622485
5445,2,945.775773883225,378.838,12898.955325880295
5446,2,946.775773883225,378.82,12911.980307219575
5447,2,948.775773883225,378.78,28751.70105177196
5448,2,949.775773883225,378.76,14389.862794936878
5449,2,950.775773883225,378.742,12963.861904805655
5450,2,951.775773883225,378.725,12255.958581969133
5451,2,952.775773883225,378.706,13711.576236578694
5452,2,953.775773883225,378.689,12280.545038421893
5453,2,954.775773883225,378.671,13015.961641968634
5454,2,955.775773883225,378.654,12305.159095250965
5455,2,956.775773883225,378.636,13042.021064452396
5456,2,957.775773883225,378.62,11604.50322285763
5457,2,958.775773883225,378.606,10164.139218170249
5458,2,959.775773883225,378.591,10901.09004984593
5459,2,960.775773883225,378.576,10912.015655747673
5460,2,961.775773883225,378.562,10194.757802416847
5461,2,962.775773883225,378.548,10204.980326313493
5462,2,963.775773883225,378.537,8026.261999491781
5463,2,964.775773883225,378.525,8764.740923131318
5464,2,965.775773883225,378.514,8042.429186908672
5465,2,966.775773883225,378.503,8050.52265621297
5466,2,967.775773883225,378.491,8791.20545009983
5467,2,968.775773883225,378.48,8066.686829629735
5468,2,969.775773883225,378.47,7340.7177204023965
5469,2,970.775773883225,378.458,8817.688379686915
5470,2,971.775773883225,378.447,8090.961363459635
5471,2,972.775773883225,378.438,6626.514524551158
5472,2,973.775773883225,378.425,9581.193096114439
5473,2,974.775773883225,378.413,8852.968165851124
5474,2,975.775773883225,378.397,11815.629814935457
5475,2,976.775773883225,378.376,15523.148187318619
5476,2,977.775773883225,378.354,16278.06975014797
5477,2,978.775773883225,378.331,17034.373768575133
5478,2,979.775773883225,378.306,18533.365055617327
5479,2,980.775773883225,378.273,24487.13368951958
5480,2,981.775773883225,378.243,22281.87244067321
5481,2,982.775773883225,378.215,20816.000698099262
5482,2,983.775773883225,378.189,19347.430192143023
5483,2,984.775773883225,378.163,19365.76527933904
5484,2,985.775773883225,378.141,16402.01553959509
5485,2,986.775773883225,378.117,17910.1697569298
5486,2,987.775773883225,378.092,18674.12325483697
5487,2,988.775773883225,378.065,20187.08251700002
5488,2,989.775773883225,378.039,19457.70896514908
5489,2,990.775773883225,378.015,17977.91968674087
5490,2,991.775773883225,377.989,19494.447756136997
5491,2,992.775773883225,377.963,19512.761627248055
5492,2,993.775773883225,377.937,19531.072794444433
5493,2,994.775773883225,377.912,18797.506847872188
5494,2,995.775773883225,377.886,19567.73879704933
5495,2,996.775773883225,377.861,18832.757519648836
5496,2,997.775773883225,377.835,19604.394191739782
5497,2,998.775773883225,377.809,19622.6919428506
5498,2,999.775773883225,377.784,18885.589407919455
5499,2,1000.775773883225,377.758,19659.33137354118
5500,2,1001.775773883225,377.732,19677.621064651874
5501,2,1002.775773883225,377.707,18938.39819619008
5502,2,1003.775773883225,377.682,18956.029451429647
5503,2,1004.775773883225,377.659,17455.811769895405
5504,2,1005.775773883225,377.638,15952.847918431642
5505,2,1006.775773883225,377.615,17488.51974168588
5506,2,1007.775773883225,377.594,15982.708022801527
5507,2,1008.775773883225,377.571,17521.219617519495
5508,2,1009.775773883225,377.547,18299.99670775637
5509,2,1010.775773883225,377.521,19843.315492903916
5510,2,1011.775773883225,377.494,20625.458919787892
5511,2,1012.775773883225,377.467,20644.367697753023
5512,2,1013.775773883225,377.44,20663.273559631227
5513,2,1014.775773883225,377.413,20682.1765055529
5514,2,1015.775773883225,377.389,18401.030056287243
5515,2,1016.775773883225,377.365,18417.973978595728
5516,2,1017.775773883225,377.342,17666.817522560865
5517,2,1018.775773883225,377.319,17683.09791874841
5518,2,1019.775773883225,377.295,18468.889819995486
5519,2,1020.775773883225,377.271,18485.82462230397
5520,2,1021.775773883225,377.244,20815.518996840376
5521,2,1022.775773883225,377.218,20062.781853810702
5522,2,1023.775773883225,377.192,20081.013720964416
5523,2,1024.775773883225,377.162,23191.31112398004
5524,2,1025.775773883225,377.133,22438.388583473352
5525,2,1026.775773883225,377.105,21684.132571951275
5526,2,1027.775773883225,377.076,22478.739866764892
5527,2,1028.775773883225,377.047,22498.880714913215
5528,2,1029.775773883225,377.018,22519.01819910568
5529,2,1030.775773883225,376.989,22539.152319209865
5530,2,1031.775773883225,376.96,22559.28307535819
5531,2,1032.775773883225,376.931,22579.410467506517
5532,2,1033.775773883225,376.902,22599.534495654843
5533,2,1034.775773883225,376.872,23399.612225470337
5534,2,1035.775773883225,376.843,22639.712384956612
5535,2,1036.775773883225,376.813,23441.16847927517
5536,2,1037.775773883225,376.784,22679.87658625838
5537,2,1038.775773883225,376.757,21134.523656538637
5538,2,1039.775773883225,376.731,20369.922776113002
5539,2,1040.775773883225,376.703,21956.36392377383
5540,2,1041.775773883225,376.675,21975.826571315785
5541,2,1042.775773883225,376.648,21209.768306333524
5542,2,1043.775773883225,376.624,18869.929553870268
5543,2,1044.775773883225,376.597,21247.570435896963
5544,2,1045.775773883225,376.57,21266.382661773896
5545,2,1046.775773883225,376.547,18131.92650146564
5546,2,1047.775773883225,376.528,14992.02107742939
5547,2,1048.775773883225,376.51,14215.824201865553
5548,2,1049.775773883225,376.496,11066.824389449872
5549,2,1050.775773883225,376.487,7120.9466508797495
5550,2,1051.775773883225,376.483,3167.8224178585333
5559,2,1060.775773883225,376.481,1597.4519396200446
5560,2,1061.775773883225,376.462,15189.676093788546
5561,2,1062.775773883225,376.44,17603.6521255741
5562,2,1064.775773883225,376.398,33667.35389044386
5563,2,1065.775773883225,376.378,16045.808479245383
5564,2,1066.775773883225,376.358,16060.010578580657
5565,2,1067.775773883225,376.337,16877.899208595776
5566,2,1068.775773883225,376.315,17697.156922817703
5567,2,1069.775773883225,376.299,12882.051588581335
5568,2,1070.775773883225,376.284,12087.714663534392
5569,2,1071.775773883225,376.274,8065.734328412784
5570,2,1072.775773883225,376.271,2421.936134259474
5585,2,1087.775773883225,376.269,1637.1895617639816
5586,2,1088.775773883225,376.244,20482.94809828605
