fixIdx,legIdx,tickLead,togo,area
290,2,82.819811242554,166.713,3259.6380322880605
291,2,87.819811242554,166.602,3249.1543026583263
292,2,92.819811242554,166.486,3586.3911733109685
293,2,97.819811242554,166.37,3776.9496865499063
294,2,102.819811242554,166.257,3864.6729250219864
295,2,107.819811242554,166.142,4121.507705279902
296,2,112.819811242554,166.03,4197.2652220867085
297,2,117.819811242554,165.928,3989.3453478466367
298,2,122.819811242554,165.818,4481.947921051353
299,2,127.819811242554,165.712,4491.8668142528295
300,2,132.819811242554,165.609,4532.617246110636
301,2,137.819811242554,165.505,4745.943173896383
302,2,142.819811242554,165.404,4773.29645276465
303,2,147.819811242554,165.321,4057.679687074997
304,2,152.819811242554,165.242,3990.8094458384085
305,2,157.819811242554,165.147,4953.4833135784775
306,2,162.819811242554,165.045,5483.70350960795
307,2,167.819811242554,164.936,6036.131055564501
308,2,172.819811242554,164.839,5528.190365494264
309,2,177.819811242554,164.738,5919.137312918556
310,2,182.819811242554,164.63,6503.2195236487
311,2,187.819811242554,164.52,6800.297995752619
312,2,192.819811242554,164.416,6596.239252812448
313,2,197.819811242554,164.316,6502.970218938357
314,2,202.819811242554,164.232,5597.427640906178
315,2,207.819811242554,164.133,6755.83447954675
316,2,212.819811242554,164.03,7193.47753483
317,2,217.819811242554,163.914,8286.193220663854
318,2,222.819811242554,163.805,7959.4291435438145
319,2,227.819811242554,163.692,8430.964433642772
320,2,232.819811242554,163.585,8153.032921951089
321,2,237.819811242554,163.459,9799.97033584961
322,2,242.819811242554,163.363,7618.450209592032
323,2,247.819811242554,163.275,7123.368340408295
324,2,252.819811242554,163.229,3797.1472638965492
327,2,267.819811242554,163.178,4458.331317542076
328,2,272.819811242554,163.146,2848.8848666862373
332,2,293.819811242554,163.121,2396.5927088646795
335,2,308.819811242554,163.102,1914.1383803771641
417,2,719.819811242554,163.066,8452.15877496133
420,2,734.819811242554,163.064,479.2935700833568
421,2,739.819811242554,163.016,11579.541314399095
424,2,754.819811242554,162.973,10580.707084221978
427,2,769.819811242554,162.96,3261.825846991664
428,2,774.819811242554,162.878,20702.190487768974
431,2,789.819811242554,162.849,7460.703492040562
432,2,794.819811242554,162.743,27431.419030099663
433,2,799.819811242554,162.635,28106.327218588875
434,2,804.819811242554,162.523,29309.683220607345
435,2,809.819811242554,162.426,25525.563370817512
436,2,814.819811242554,162.316,29106.68366567433
437,2,819.819811242554,162.188,34052.45542751789
438,2,824.819811242554,162.061,33965.76886989449
439,2,829.819811242554,161.937,33338.63494116638
440,2,834.819811242554,161.812,33784.009883745704
441,2,839.819811242554,161.692,32602.20818594658
442,2,844.819811242554,161.561,35774.86053611026
443,2,849.819811242554,161.426,37054.90143546814
444,2,854.819811242554,161.289,37793.25502776441
445,2,859.819811242554,161.154,37427.78871852266
446,2,864.819811242554,161.019,37613.91506140286
447,2,869.819811242554,160.89,36120.36450463438
448,2,874.819811242554,160.763,35736.328926686045
449,2,879.819811242554,160.636,35912.197354223
450,2,884.819811242554,160.504,37507.936512082684
451,2,889.819811242554,160.374,37118.068180944174
452,2,894.819811242554,160.251,35288.89704349346
453,2,899.819811242554,160.122,37187.8584379475
454,2,904.819811242554,159.988,38812.01055010265
455,2,909.819811242554,159.862,36666.739194868685
456,2,914.819811242554,159.735,37131.45573613267
457,2,919.819811242554,159.612,36130.22876309328
458,2,924.819811242554,159.484,37773.60671849235
459,2,929.819811242554,159.348,40318.058167898416
460,2,935.819811242554,159.217,39053.646400071506
461,2,940.819811242554,159.086,39230.01565751003
462,2,945.819811242554,158.956,39105.355172943746
463,2,950.819811242554,158.836,36259.55153452003
464,2,955.819811242554,158.712,37636.31500814304
465,2,960.819811242554,158.59,37194.145825115585
466,2,965.819811242554,158.466,37971.15179309012
467,2,970.819811242554,158.337,39675.063097284525
468,2,975.819811242554,158.211,38920.6200107529
469,2,980.819811242554,158.101,34126.95837471726
470,2,985.819811242554,157.987,35523.06262454949
471,2,990.819811242554,157.875,35051.78064849227
472,2,995.819811242554,157.764,34889.47220348438
473,2,1000.819811242554,157.639,39457.69636566691
474,2,1005.819811242554,157.532,33919.56022301637
475,2,1010.819811242554,157.425,34065.03095597854
476,2,1015.819811242554,157.319,33890.65821099834
477,2,1020.819811242554,157.206,36281.28867781012
478,2,1025.819811242554,157.091,37077.39025961538
479,2,1030.819811242554,156.984,34641.75634711233
480,2,1035.819811242554,156.875,35436.049344911546
481,2,1040.819811242554,156.763,36561.35212334941
482,2,1045.819811242554,156.648,37693.71477905709
483,2,1050.819811242554,156.536,36859.19459758733
484,2,1055.819811242554,156.423,37338.399290652254
485,2,1060.819811242554,156.32,34171.68893342816
486,2,1065.819811242554,156.212,35975.10210270521
487,2,1070.819811242554,156.093,39796.26335686251
488,2,1075.819811242554,155.968,41965.175764520325
489,2,1080.819811242554,155.843,42126.43827041899
490,2,1085.819811242554,155.728,38905.64590698864
491,2,1090.819811242554,155.605,41771.8091281165
492,2,1095.819811242554,155.495,37500.049760526395
493,2,1100.819811242554,155.386,37302.41204754274
494,2,1105.819811242554,155.271,39506.0264866386
495,2,1110.819811242554,155.156,39655.273077621445
496,2,1115.819811242554,155.038,40842.232042369855
497,2,1120.819811242554,154.932,36826.57479043855
498,2,1125.819811242554,154.827,36616.94598561807
499,2,1130.819811242554,154.714,39553.965756676786
500,2,1135.819811242554,154.615,34782.85863278928
501,2,1140.819811242554,154.515,35266.16282494909
502,2,1145.819811242554,154.414,35751.67381520212
503,2,1150.819811242554,154.299,40856.399184627226
504,2,1155.819811242554,154.188,39577.64785830334
505,2,1160.819811242554,154.075,40435.671114455996
506,2,1165.819811242554,153.959,41657.00820940428
