fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo
1,,,,281.0,1169.107668183208,-6739.66759380786,1,0,142.965
254,,,,1321.0,2137.107668183208,-5771.66759380786,240,1,142.904
255,,,,1329.0,2139.107668183208,-5769.66759380786,241,1,142.838
256,,,,1331.0,2141.107668183208,-5767.66759380786,242,1,142.811
261,,,,1353.0,2151.107668183208,-5757.66759380786,247,1,142.795
263,,,,1365.0,2155.107668183208,-5753.66759380786,249,1,142.753
264,,,,1370.0,2157.107668183208,-5751.66759380786,250,1,142.717
265,,,,1376.0,2159.107668183208,-5749.66759380786,251,1,142.695
266,,,,1379.0,2161.107668183208,-5747.66759380786,252,1,142.688
268,,,,1387.0,2165.107668183208,-5743.66759380786,254,1,142.677
269,,,,1393.0,2167.107668183208,-5741.66759380786,255,1,142.656
273,,,,1414.0,2175.107668183208,-5733.66759380786,259,1,142.653
274,,,,1418.0,2177.107668183208,-5731.66759380786,260,1,142.626
275,,,,1424.0,2179.107668183208,-5729.66759380786,261,1,142.594
276,,,,1428.0,2181.107668183208,-5727.66759380786,262,1,142.559
277,,,,1431.0,2183.107668183208,-5725.66759380786,263,1,142.553
284,,,,1465.0,2198.107668183208,-5710.66759380786,270,1,142.515
285,,,,1471.0,2200.107668183208,-5708.66759380786,271,1,142.491
286,,,,1476.0,2202.107668183208,-5706.66759380786,272,1,142.43
287,,,,1481.0,2204.107668183208,-5704.66759380786,273,1,142.416
289,,,,1486.0,2208.107668183208,-5700.66759380786,275,1,142.397
302,,,,1568.0,2234.107668183208,-5674.66759380786,288,1,142.374
306,,,,1596.0,2242.107668183208,-5666.66759380786,292,1,142.348
307,,,,1602.0,2244.107668183208,-5664.66759380786,293,1,142.323
308,,,,1608.0,2246.107668183208,-5662.66759380786,294,1,142.316
309,,,,1612.0,2248.107668183208,-5660.66759380786,295,1,142.302
313,,,,1618.0,2256.107668183208,-5652.66759380786,299,1,142.259
314,,,,1628.0,2258.107668183208,-5650.66759380786,300,1,142.219
315,,,,1634.0,2260.107668183208,-5648.66759380786,301,1,142.194
316,,,,1635.0,2262.107668183208,-5646.66759380786,302,1,142.189
317,,,,1640.0,2264.107668183208,-5644.66759380786,303,1,142.188
318,,,,1643.0,2266.107668183208,-5642.66759380786,304,1,142.183
319,,,,1648.0,2268.107668183208,-5640.66759380786,305,1,142.182
324,,,,1682.0,2278.107668183208,-5630.66759380786,310,1,142.178
325,,,,1685.0,2280.107668183208,-5628.66759380786,311,1,142.137
326,,,,1687.0,2282.107668183208,-5626.66759380786,312,1,142.1
327,,,,1690.0,2284.107668183208,-5624.66759380786,313,1,142.075
328,,,,1692.0,2286.107668183208,-5622.66759380786,314,1,142.059
330,,,,1697.0,2290.107668183208,-5618.66759380786,316,1,142.044
338,,,,1732.0,2306.107668183208,-5602.66759380786,324,1,142.041
339,,,,1735.0,2308.107668183208,-5600.66759380786,325,1,141.995
340,,,,1739.0,2310.107668183208,-5598.66759380786,326,1,141.963
341,,,,1740.0,2312.107668183208,-5596.66759380786,327,1,141.944
342,,,,1740.0,2314.107668183208,-5594.66759380786,328,1,141.906
343,,,,1740.0,2316.107668183208,-5592.66759380786,329,1,141.879
354,,,,1765.0,2338.107668183208,-5570.66759380786,340,1,141.869
355,,,,1766.0,2340.107668183208,-5568.66759380786,341,1,141.833
356,,,,1768.0,2342.107668183208,-5566.66759380786,342,1,141.79
357,,,,1771.0,2344.107668183208,-5564.66759380786,343,1,141.78
358,,,,1774.0,2346.107668183208,-5562.66759380786,344,1,141.775
367,,,,1807.0,2364.107668183208,-5544.66759380786,353,1,141.77
368,,,,1808.0,2365.107668183208,-5543.66759380786,354,1,141.753
369,,,,1809.0,2366.107668183208,-5542.66759380786,355,1,141.741
370,,,,1815.0,2368.107668183208,-5540.66759380786,356,1,141.735
379,,,,1861.0,2384.107668183208,-5524.66759380786,365,1,141.732
380,,,,1863.0,2386.107668183208,-5522.66759380786,366,1,141.691
381,,,,1865.0,2388.107668183208,-5520.66759380786,367,1,141.663
382,,,,1868.0,2390.107668183208,-5518.66759380786,368,1,141.65
383,,,,1880.0,2392.107668183208,-5516.66759380786,369,1,141.638
384,,,,1885.0,2394.107668183208,-5514.66759380786,370,1,141.624
385,,,,1888.0,2396.107668183208,-5512.66759380786,371,1,141.621
390,,,,1920.0,2406.107668183208,-5502.66759380786,376,1,141.607
391,,,,1925.0,2408.107668183208,-5500.66759380786,377,1,141.571
392,,,,1933.0,2410.107668183208,-5498.66759380786,378,1,141.538
393,,,,1939.0,2412.107668183208,-5496.66759380786,379,1,141.493
394,,,,1939.0,2414.107668183208,-5494.66759380786,380,1,141.459
402,,,,1988.0,2430.107668183208,-5478.66759380786,388,1,141.445
403,,,,1993.0,2432.107668183208,-5476.66759380786,389,1,141.425
404,,,,1999.0,2434.107668183208,-5474.66759380786,390,1,141.417
405,,,,2004.0,2436.107668183208,-5472.66759380786,391,1,141.411
414,,,,2045.0,2454.107668183208,-5454.66759380786,400,1,141.39
415,,,,2056.0,2456.107668183208,-5452.66759380786,401,1,141.323
416,,,,2067.0,2458.107668183208,-5450.66759380786,402,1,141.263
417,,,,2074.0,2460.107668183208,-5448.66759380786,403,1,141.213
418,,,,2076.0,2462.107668183208,-5446.66759380786,404,1,141.179
419,,,,2073.0,2464.107668183208,-5444.66759380786,405,1,141.148
420,,,,2067.0,2466.107668183208,-5442.66759380786,406,1,141.112
421,,,,2063.0,2468.107668183208,-5440.66759380786,407,1,141.072
422,,,,2062.0,2470.107668183208,-5438.66759380786,408,1,141.033
423,,,,2063.0,2472.107668183208,-5436.66759380786,409,1,140.999
424,,,,2064.0,2474.107668183208,-5434.66759380786,410,1,140.966
