fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
10,0,1,-472.892331816792,-8381.66759380786,,,,274.0,143.145
72,1,58,141.107668183208,-7767.66759380786,,,,1300.0,143.071
74,1,60,161.107668183208,-7747.66759380786,,,,1326.0,143.018
75,1,61,171.107668183208,-7737.66759380786,,,,1357.0,142.84
77,1,63,191.107668183208,-7717.66759380786,,,,1421.0,142.775
80,1,66,221.107668183208,-7687.66759380786,,,,1509.0,142.657
83,1,69,251.107668183208,-7657.66759380786,,,,1595.0,142.629
85,1,71,271.107668183208,-7637.66759380786,,,,1653.0,142.599
86,1,72,281.107668183208,-7627.66759380786,,,,1669.0,142.529
89,1,75,311.107668183208,-7597.66759380786,,,,1713.0,142.491
91,1,77,331.107668183208,-7577.66759380786,,,,1756.0,142.478
96,1,82,381.107668183208,-7527.66759380786,,,,1771.0,142.415
97,1,83,391.107668183208,-7517.66759380786,,,,1760.0,142.334
98,1,84,402.107668183208,-7506.66759380786,,,,1736.0,142.213
99,1,85,412.107668183208,-7496.66759380786,,,,1715.0,142.072
100,1,86,422.107668183208,-7486.66759380786,,,,1702.0,141.894
101,1,87,432.107668183208,-7476.66759380786,,,,1691.0,141.728
102,1,88,442.107668183208,-7466.66759380786,,,,1675.0,141.547
103,1,89,452.107668183208,-7456.66759380786,,,,1673.0,141.389
104,1,90,462.107668183208,-7446.66759380786,,,,1655.0,141.229
105,1,91,472.107668183208,-7436.66759380786,,,,1641.0,141.062
106,1,92,482.107668183208,-7426.66759380786,,,,1612.0,140.961
131,1,117,733.107668183208,-7175.66759380786,,,,1418.0,140.86
133,1,119,753.107668183208,-7155.66759380786,,,,1450.0,140.813
134,1,120,763.107668183208,-7145.66759380786,,,,1462.0,140.774
135,1,121,773.107668183208,-7135.66759380786,,,,1475.0,140.728
136,1,122,783.107668183208,-7125.66759380786,,,,1488.0,140.553
137,1,123,793.107668183208,-7115.66759380786,,,,1496.0,140.552
139,1,125,813.107668183208,-7095.66759380786,,,,1515.0,140.429
143,1,129,853.107668183208,-7055.66759380786,,,,1547.0,140.331
144,1,130,863.107668183208,-7045.66759380786,,,,1545.0,140.325
148,1,134,903.107668183208,-7005.66759380786,,,,1576.0,140.258
150,1,136,923.107668183208,-6985.66759380786,,,,1614.0,140.221
151,1,137,933.107668183208,-6975.66759380786,,,,1630.0,140.163
153,1,139,953.107668183208,-6955.66759380786,,,,1664.0,140.095
155,1,141,973.107668183208,-6935.66759380786,,,,1692.0,140.03
157,1,143,993.107668183208,-6915.66759380786,,,,1716.0,139.994
158,1,144,1003.107668183208,-6905.66759380786,,,,1730.0,139.964
159,1,145,1013.107668183208,-6895.66759380786,,,,1749.0,139.898
161,1,147,1033.107668183208,-6875.66759380786,,,,1786.0,139.802
163,1,149,1054.107668183208,-6854.66759380786,,,,1818.0,139.734
165,1,151,1074.107668183208,-6834.66759380786,,,,1851.0,139.72
166,1,152,1084.107668183208,-6824.66759380786,,,,1865.0,139.625
168,1,154,1104.107668183208,-6804.66759380786,,,,1896.0,139.587
169,1,155,1114.107668183208,-6794.66759380786,,,,1909.0,139.585
171,1,157,1134.107668183208,-6774.66759380786,,,,1939.0,139.484
174,1,160,1164.107668183208,-6744.66759380786,,,,1977.0,139.402
175,1,161,1174.107668183208,-6734.66759380786,,,,1972.0,139.314
177,1,163,1194.107668183208,-6714.66759380786,,,,1963.0,139.269
178,1,164,1204.107668183208,-6704.66759380786,,,,1959.0,139.126
179,1,165,1214.107668183208,-6694.66759380786,,,,1954.0,138.967
180,1,166,1224.107668183208,-6684.66759380786,,,,1953.0,138.821
181,2,1,1234.107668183208,-6674.66759380786,,,,1960.0,138.645
182,2,2,1244.107668183208,-6664.66759380786,,,,1979.0,138.437
183,2,3,1254.107668183208,-6654.66759380786,,,,1999.0,138.246
184,2,4,1264.107668183208,-6644.66759380786,,,,2007.0,138.198
185,2,5,1274.107668183208,-6634.66759380786,,,,2012.0,138.19
186,2,6,1284.107668183208,-6624.66759380786,,,,2019.0,138.016
187,2,7,1294.107668183208,-6614.66759380786,,,,2024.0,137.868
188,2,8,1304.107668183208,-6604.66759380786,,,,2018.0,137.719
189,2,9,1314.107668183208,-6594.66759380786,,,,2014.0,137.562
190,2,10,1324.107668183208,-6584.66759380786,,,,1994.0,137.421
191,2,11,1334.107668183208,-6574.66759380786,,,,1982.0,137.273
192,2,12,1344.107668183208,-6564.66759380786,,,,1961.0,137.11
193,2,13,1355.107668183208,-6553.66759380786,,,,1938.0,136.901
194,2,14,1365.107668183208,-6543.66759380786,,,,1927.0,136.698
195,2,15,1375.107668183208,-6533.66759380786,,,,1910.0,136.501
196,2,16,1385.107668183208,-6523.66759380786,,,,1892.0,136.298
197,2,17,1395.107668183208,-6513.66759380786,,,,1881.0,136.101
198,2,18,1405.107668183208,-6503.66759380786,,,,1876.0,135.91
199,2,19,1415.107668183208,-6493.66759380786,,,,1863.0,135.729
200,2,20,1425.107668183208,-6483.66759380786,,,,1846.0,135.537
201,2,21,1435.107668183208,-6473.66759380786,,,,1829.0,135.349
202,2,22,1445.107668183208,-6463.66759380786,,,,1837.0,135.184
203,2,23,1455.107668183208,-6453.66759380786,,,,1848.0,135.009
204,2,24,1465.107668183208,-6443.66759380786,,,,1846.0,134.884
205,2,25,1475.107668183208,-6433.66759380786,,,,1847.0,134.764
