leg,tickLead,tickRace,distance,area
0,-890.0,-13293.0,186.134,0.0
0,-860.0,-13263.0,186.132,0.0
1,-207.0,-12610.0,186.095,0.0
1,-204.0,-12607.0,186.06,0.0
1,-201.0,-12604.0,186.038,0.0
1,-198.0,-12601.0,186.015,0.0
1,-195.0,-12598.0,186.001,0.0
1,-192.0,-12595.0,185.992,0.0
1,-189.0,-12592.0,185.991,0.0
1,-186.0,-12589.0,185.987,0.0
1,-183.0,-12586.0,185.978,0.0
1,-180.0,-12583.0,185.974,0.0
1,-177.0,-12580.0,185.972,0.0
1,-123.0,-12526.0,185.944,0.0
1,-120.0,-12523.0,185.94,0.0
1,-105.0,-12508.0,185.917,0.0
1,-102.0,-12505.0,185.914,0.0
1,-87.0,-12490.0,185.91,0.0
1,-84.0,-12487.0,185.866,0.0
1,-81.0,-12484.0,185.82,0.0
1,-77.0,-12480.0,185.769,0.0
1,-74.0,-12477.0,185.723,0.0
1,-71.0,-12474.0,185.701,0.0
1,-68.0,-12471.0,185.683,0.0
1,-65.0,-12468.0,185.676,0.0
1,-53.0,-12456.0,185.666,0.0
1,-50.0,-12453.0,185.627,0.0
1,-47.0,-12450.0,185.598,0.0
1,-44.0,-12447.0,185.582,0.0
1,-41.0,-12444.0,185.573,0.0
1,10.0,-12393.0,185.546,0.0
1,13.0,-12390.0,185.53,0.0
1,16.0,-12387.0,185.525,0.0
1,143.0,-12260.0,185.498,0.0
1,146.0,-12257.0,185.452,0.0
1,149.0,-12254.0,185.408,0.0
1,152.0,-12251.0,185.356,0.0
1,155.0,-12248.0,185.295,0.0
1,158.0,-12245.0,185.238,0.0
1,161.0,-12242.0,185.214,0.0
1,179.0,-12224.0,185.191,0.0
1,182.0,-12221.0,185.172,0.0
1,191.0,-12212.0,185.16,0.0
1,194.0,-12209.0,185.11,0.0
1,197.0,-12206.0,185.091,0.0
1,209.0,-12194.0,185.076,0.0
1,212.0,-12191.0,185.042,0.0
1,227.0,-12176.0,185.025,0.0
1,230.0,-12173.0,184.997,0.0
1,248.0,-12155.0,184.993,0.0
1,251.0,-12152.0,184.933,0.0
1,254.0,-12149.0,184.896,0.0
1,658.0,-11745.0,184.887,0.0
1,661.0,-11742.0,184.853,0.0
1,679.0,-11724.0,184.838,0.0
1,682.0,-11721.0,184.796,0.0
1,685.0,-11718.0,184.792,0.0
1,700.0,-11703.0,184.755,0.0
1,703.0,-11700.0,184.74,0.0
1,721.0,-11682.0,184.728,0.0
1,724.0,-11679.0,184.685,0.0
1,727.0,-11676.0,184.649,0.0
1,730.0,-11673.0,184.629,0.0
1,733.0,-11670.0,184.623,0.0
1,754.0,-11649.0,184.609,0.0
1,757.0,-11646.0,184.563,0.0
1,760.0,-11643.0,184.514,0.0
1,763.0,-11640.0,184.466,0.0
1,766.0,-11637.0,184.416,0.0
1,769.0,-11634.0,184.364,0.0
1,772.0,-11631.0,184.296,0.0
1,775.0,-11628.0,184.244,0.0
