fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,,,,-3671.36842915783,-15970.366050143495,1,0,195.568,0.0
232,,,,-2732.36842915783,-15031.366050143495,223,1,195.53,0.0
233,,,,-2729.36842915783,-15028.366050143495,224,1,195.502,0.0
234,,,,-2726.36842915783,-15025.366050143495,225,1,195.499,0.0
240,,,,-2708.36842915783,-15007.366050143495,231,1,195.482,0.0
241,,,,-2705.36842915783,-15004.366050143495,232,1,195.425,0.0
242,,,,-2702.36842915783,-15001.366050143495,233,1,195.406,0.0
245,,,,-2693.36842915783,-14992.366050143495,236,1,195.389,0.0
246,,,,-2690.36842915783,-14989.366050143495,237,1,195.338,0.0
247,,,,-2687.36842915783,-14986.366050143495,238,1,195.298,0.0
248,,,,-2684.36842915783,-14983.366050143495,239,1,195.293,0.0
253,,,,-2669.36842915783,-14968.366050143495,244,1,195.253,0.0
254,,,,-2666.36842915783,-14965.366050143495,245,1,195.24,0.0
259,,,,-2651.36842915783,-14950.366050143495,250,1,195.205,0.0
260,,,,-2648.36842915783,-14947.366050143495,251,1,195.204,0.0
269,,,,-2621.36842915783,-14920.366050143495,260,1,195.158,0.0
270,,,,-2618.36842915783,-14917.366050143495,261,1,195.118,0.0
274,,,,-2606.36842915783,-14905.366050143495,265,1,195.072,0.0
275,,,,-2603.36842915783,-14902.366050143495,266,1,195.027,0.0
280,,,,-2588.36842915783,-14887.366050143495,271,1,194.987,0.0
281,,,,-2585.36842915783,-14884.366050143495,272,1,194.933,0.0
282,,,,-2582.36842915783,-14881.366050143495,273,1,194.895,0.0
283,,,,-2579.36842915783,-14878.366050143495,274,1,194.881,0.0
288,,,,-2564.36842915783,-14863.366050143495,279,1,194.842,0.0
289,,,,-2561.36842915783,-14860.366050143495,280,1,194.82,0.0
293,,,,-2549.36842915783,-14848.366050143495,284,1,194.817,0.0
294,,,,-2546.36842915783,-14845.366050143495,285,1,194.775,0.0
298,,,,-2534.36842915783,-14833.366050143495,289,1,194.746,0.0
299,,,,-2531.36842915783,-14830.366050143495,290,1,194.685,0.0
300,,,,-2528.36842915783,-14827.366050143495,291,1,194.634,0.0
301,,,,-2525.36842915783,-14824.366050143495,292,1,194.618,0.0
305,,,,-2513.36842915783,-14812.366050143495,296,1,194.601,0.0
306,,,,-2510.36842915783,-14809.366050143495,297,1,194.547,0.0
307,,,,-2507.36842915783,-14806.366050143495,298,1,194.485,0.0
308,,,,-2504.36842915783,-14803.366050143495,299,1,194.436,0.0
309,,,,-2501.36842915783,-14800.366050143495,300,1,194.407,0.0
314,,,,-2486.36842915783,-14785.366050143495,305,1,194.39,0.0
315,,,,-2483.36842915783,-14782.366050143495,306,1,194.312,0.0
316,,,,-2480.36842915783,-14779.366050143495,307,1,194.273,0.0
317,,,,-2477.36842915783,-14776.366050143495,308,1,194.267,0.0
328,,,,-2444.36842915783,-14743.366050143495,319,1,194.223,0.0
329,,,,-2441.36842915783,-14740.366050143495,320,1,194.164,0.0
330,,,,-2438.36842915783,-14737.366050143495,321,1,194.101,0.0
331,,,,-2435.36842915783,-14734.366050143495,322,1,194.054,0.0
332,,,,-2432.36842915783,-14731.366050143495,323,1,194.035,0.0
333,,,,-2429.36842915783,-14728.366050143495,324,1,194.027,0.0
334,,,,-2425.36842915783,-14724.366050143495,325,1,194.018,0.0
336,,,,-2419.36842915783,-14718.366050143495,327,1,194.011,0.0
337,,,,-2416.36842915783,-14715.366050143495,328,1,193.997,0.0
338,,,,-2413.36842915783,-14712.366050143495,329,1,193.978,0.0
339,,,,-2410.36842915783,-14709.366050143495,330,1,193.95,0.0
340,,,,-2407.36842915783,-14706.366050143495,331,1,193.926,0.0
341,,,,-2404.36842915783,-14703.366050143495,332,1,193.912,0.0
342,,,,-2401.36842915783,-14700.366050143495,333,1,193.905,0.0
343,,,,-2398.36842915783,-14697.366050143495,334,1,193.895,0.0
344,,,,-2395.36842915783,-14694.366050143495,335,1,193.875,0.0
345,,,,-2392.36842915783,-14691.366050143495,336,1,193.848,0.0
346,,,,-2389.36842915783,-14688.366050143495,337,1,193.824,0.0
347,,,,-2386.36842915783,-14685.366050143495,338,1,193.798,0.0
348,,,,-2383.36842915783,-14682.366050143495,339,1,193.772,0.0
349,,,,-2380.36842915783,-14679.366050143495,340,1,193.745,0.0
350,,,,-2377.36842915783,-14676.366050143495,341,1,193.717,0.0
351,,,,-2374.36842915783,-14673.366050143495,342,1,193.686,0.0
352,,,,-2371.36842915783,-14670.366050143495,343,1,193.65,0.0
353,,,,-2368.36842915783,-14667.366050143495,344,1,193.62,0.0
354,,,,-2365.36842915783,-14664.366050143495,345,1,193.596,0.0
355,,,,-2362.36842915783,-14661.366050143495,346,1,193.576,0.0
356,,,,-2359.36842915783,-14658.366050143495,347,1,193.563,0.0
410,,,,-2197.36842915783,-14496.366050143495,401,1,193.559,0.0
411,,,,-2194.36842915783,-14493.366050143495,402,1,193.512,0.0
412,,,,-2191.36842915783,-14490.366050143495,403,1,193.509,0.0
432,,,,-2131.36842915783,-14430.366050143495,423,1,193.486,0.0
436,,,,-2119.36842915783,-14418.366050143495,427,1,193.439,0.0
437,,,,-2116.36842915783,-14415.366050143495,428,1,193.397,0.0
438,,,,-2113.36842915783,-14412.366050143495,429,1,193.391,0.0
441,,,,-2104.36842915783,-14403.366050143495,432,1,193.384,0.0
442,,,,-2101.36842915783,-14400.366050143495,433,1,193.332,0.0
443,,,,-2098.36842915783,-14397.366050143495,434,1,193.303,0.0
447,,,,-2086.36842915783,-14385.366050143495,438,1,193.275,0.0
448,,,,-2083.36842915783,-14382.366050143495,439,1,193.213,0.0
449,,,,-2080.36842915783,-14379.366050143495,440,1,193.164,0.0
450,,,,-2077.36842915783,-14376.366050143495,441,1,193.143,0.0
455,,,,-2062.36842915783,-14361.366050143495,446,1,193.119,0.0
456,,,,-2059.36842915783,-14358.366050143495,447,1,193.058,0.0
457,,,,-2056.36842915783,-14355.366050143495,448,1,193.02,0.0
458,,,,-2053.36842915783,-14352.366050143495,449,1,193.012,0.0
462,,,,-2041.36842915783,-14340.366050143495,453,1,192.977,0.0
463,,,,-2038.36842915783,-14337.366050143495,454,1,192.936,0.0
464,,,,-2034.36842915783,-14333.366050143495,455,1,192.923,0.0
468,,,,-2022.36842915783,-14321.366050143495,459,1,192.871,0.0
469,,,,-2019.36842915783,-14318.366050143495,460,1,192.81,0.0
470,,,,-2016.36842915783,-14315.366050143495,461,1,192.778,0.0
471,,,,-2013.36842915783,-14312.366050143495,462,1,192.772,0.0
479,,,,-1989.36842915783,-14288.366050143495,470,1,192.752,0.0
485,,,,-1971.36842915783,-14270.366050143495,476,1,192.725,0.0
486,,,,-1968.36842915783,-14267.366050143495,477,1,192.67,0.0
487,,,,-1965.36842915783,-14264.366050143495,478,1,192.613,0.0
488,,,,-1962.36842915783,-14261.366050143495,479,1,192.566,0.0
489,,,,-1959.36842915783,-14258.366050143495,480,1,192.542,0.0
494,,,,-1944.36842915783,-14243.366050143495,485,1,192.501,0.0
495,,,,-1941.36842915783,-14240.366050143495,486,1,192.445,0.0
496,,,,-1938.36842915783,-14237.366050143495,487,1,192.42,0.0
501,,,,-1923.36842915783,-14222.366050143495,492,1,192.395,0.0
502,,,,-1920.36842915783,-14219.366050143495,493,1,192.342,0.0
503,,,,-1917.36842915783,-14216.366050143495,494,1,192.316,0.0
508,,,,-1902.36842915783,-14201.366050143495,499,1,192.291,0.0
509,,,,-1899.36842915783,-14198.366050143495,500,1,192.234,0.0
510,,,,-1896.36842915783,-14195.366050143495,501,1,192.185,0.0
511,,,,-1893.36842915783,-14192.366050143495,502,1,192.157,0.0
512,,,,-1890.36842915783,-14189.366050143495,503,1,192.154,0.0
519,,,,-1869.36842915783,-14168.366050143495,510,1,192.112,0.0
520,,,,-1866.36842915783,-14165.366050143495,511,1,192.053,0.0
521,,,,-1863.36842915783,-14162.366050143495,512,1,192.003,0.0
522,,,,-1860.36842915783,-14159.366050143495,513,1,191.965,0.0
523,,,,-1857.36842915783,-14156.366050143495,514,1,191.932,0.0
524,,,,-1854.36842915783,-14153.366050143495,515,1,191.905,0.0
525,,,,-1851.36842915783,-14150.366050143495,516,1,191.885,0.0
526,,,,-1848.36842915783,-14147.366050143495,517,1,191.875,0.0
545,,,,-1791.36842915783,-14090.366050143495,536,1,191.84,0.0
546,,,,-1788.36842915783,-14087.366050143495,537,1,191.798,0.0
547,,,,-1785.36842915783,-14084.366050143495,538,1,191.749,0.0
548,,,,-1782.36842915783,-14081.366050143495,539,1,191.698,0.0
549,,,,-1779.36842915783,-14078.366050143495,540,1,191.657,0.0
550,,,,-1776.36842915783,-14075.366050143495,541,1,191.62,0.0
551,,,,-1773.36842915783,-14072.366050143495,542,1,191.576,0.0
552,,,,-1770.36842915783,-14069.366050143495,543,1,191.527,0.0
553,,,,-1767.36842915783,-14066.366050143495,544,1,191.481,0.0
554,,,,-1764.36842915783,-14063.366050143495,545,1,191.447,0.0
555,,,,-1761.36842915783,-14060.366050143495,546,1,191.418,0.0
556,,,,-1758.36842915783,-14057.366050143495,547,1,191.391,0.0
557,,,,-1755.36842915783,-14054.366050143495,548,1,191.36,0.0
558,,,,-1752.36842915783,-14051.366050143495,549,1,191.33,0.0
559,,,,-1749.36842915783,-14048.366050143495,550,1,191.293,0.0
560,,,,-1746.36842915783,-14045.366050143495,551,1,191.254,0.0
561,,,,-1743.36842915783,-14042.366050143495,552,1,191.216,0.0
562,,,,-1740.36842915783,-14039.366050143495,553,1,191.178,0.0
563,,,,-1737.36842915783,-14036.366050143495,554,1,191.152,0.0
564,,,,-1734.36842915783,-14033.366050143495,555,1,191.119,0.0
565,,,,-1731.36842915783,-14030.366050143495,556,1,191.074,0.0
566,,,,-1728.36842915783,-14027.366050143495,557,1,191.04,0.0
567,,,,-1725.36842915783,-14024.366050143495,558,1,191.012,0.0
568,,,,-1722.36842915783,-14021.366050143495,559,1,190.991,0.0
569,,,,-1719.36842915783,-14018.366050143495,560,1,190.971,0.0
570,,,,-1716.36842915783,-14015.366050143495,561,1,190.951,0.0
571,,,,-1713.36842915783,-14012.366050143495,562,1,190.931,0.0
572,,,,-1710.36842915783,-14009.366050143495,563,1,190.907,0.0
573,,,,-1707.36842915783,-14006.366050143495,564,1,190.893,0.0
574,,,,-1704.36842915783,-14003.366050143495,565,1,190.883,0.0
575,,,,-1701.36842915783,-14000.366050143495,566,1,190.873,0.0
576,,,,-1698.36842915783,-13997.366050143495,567,1,190.862,0.0
577,,,,-1695.36842915783,-13994.366050143495,568,1,190.851,0.0
578,,,,-1692.36842915783,-13991.366050143495,569,1,190.84,0.0
579,,,,-1689.36842915783,-13988.366050143495,570,1,190.83,0.0
580,,,,-1686.36842915783,-13985.366050143495,571,1,190.82,0.0
581,,,,-1683.36842915783,-13982.366050143495,572,1,190.808,0.0
582,,,,-1680.36842915783,-13979.366050143495,573,1,190.779,0.0
583,,,,-1677.36842915783,-13976.366050143495,574,1,190.748,0.0
584,,,,-1674.36842915783,-13973.366050143495,575,1,190.715,0.0
585,,,,-1671.36842915783,-13970.366050143495,576,1,190.682,0.0
586,,,,-1668.36842915783,-13967.366050143495,577,1,190.642,0.0
587,,,,-1665.36842915783,-13964.366050143495,578,1,190.607,0.0
588,,,,-1662.36842915783,-13961.366050143495,579,1,190.579,0.0
589,,,,-1659.36842915783,-13958.366050143495,580,1,190.555,0.0
590,,,,-1656.36842915783,-13955.366050143495,581,1,190.528,0.0
