fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,,,,316.0,-2298.36835547727,-14597.366049664803,1,0,195.542,0.0
3,,,,313.0,-2237.36835547727,-14536.366049664803,3,0,195.54,0.0
98,,,,950.0,-1972.36835547727,-14271.366049664803,94,1,195.539,0.0
99,,,,956.0,-1970.36835547727,-14269.366049664803,95,1,195.509,0.0
106,,,,991.0,-1956.36835547727,-14255.366049664803,102,1,195.501,0.0
107,,,,997.0,-1953.36835547727,-14252.366049664803,103,1,195.461,0.0
108,,,,1004.0,-1951.36835547727,-14250.366049664803,104,1,195.439,0.0
109,,,,1007.0,-1949.36835547727,-14248.366049664803,105,1,195.436,0.0
115,,,,1040.0,-1937.36835547727,-14236.366049664803,111,1,195.428,0.0
116,,,,1044.0,-1935.36835547727,-14234.366049664803,112,1,195.409,0.0
124,,,,1086.0,-1919.36835547727,-14218.366049664803,120,1,195.389,0.0
125,,,,1087.0,-1917.36835547727,-14216.366049664803,121,1,195.36,0.0
126,,,,1090.0,-1915.36835547727,-14214.366049664803,122,1,195.334,0.0
127,,,,1095.0,-1913.36835547727,-14212.366049664803,123,1,195.324,0.0
134,,,,1141.0,-1899.36835547727,-14198.366049664803,130,1,195.31,0.0
135,,,,1147.0,-1897.36835547727,-14196.366049664803,131,1,195.279,0.0
136,,,,1153.0,-1895.36835547727,-14194.366049664803,132,1,195.265,0.0
143,,,,1199.0,-1881.36835547727,-14180.366049664803,139,1,195.264,0.0
144,,,,1202.0,-1879.36835547727,-14178.366049664803,140,1,195.236,0.0
145,,,,1204.0,-1877.36835547727,-14176.366049664803,141,1,195.219,0.0
154,,,,1232.0,-1859.36835547727,-14158.366049664803,150,1,195.206,0.0
155,,,,1228.0,-1857.36835547727,-14156.366049664803,151,1,195.175,0.0
156,,,,1227.0,-1855.36835547727,-14154.366049664803,152,1,195.145,0.0
157,,,,1229.0,-1853.36835547727,-14152.366049664803,153,1,195.12,0.0
158,,,,1229.0,-1851.36835547727,-14150.366049664803,154,1,195.1,0.0
159,,,,1235.0,-1849.36835547727,-14148.366049664803,155,1,195.083,0.0
160,,,,1245.0,-1847.36835547727,-14146.366049664803,156,1,195.069,0.0
161,,,,1257.0,-1844.36835547727,-14143.366049664803,157,1,195.042,0.0
162,,,,1267.0,-1842.36835547727,-14141.366049664803,158,1,195.006,0.0
163,,,,1276.0,-1840.36835547727,-14139.366049664803,159,1,194.97,0.0
164,,,,1280.0,-1838.36835547727,-14137.366049664803,160,1,194.948,0.0
171,,,,1339.0,-1824.36835547727,-14123.366049664803,167,1,194.916,0.0
172,,,,1342.0,-1822.36835547727,-14121.366049664803,168,1,194.883,0.0
173,,,,1344.0,-1820.36835547727,-14119.366049664803,169,1,194.868,0.0
179,,,,1389.0,-1808.36835547727,-14107.366049664803,175,1,194.86,0.0
180,,,,1393.0,-1806.36835547727,-14105.366049664803,176,1,194.823,0.0
181,,,,1398.0,-1804.36835547727,-14103.366049664803,177,1,194.805,0.0
187,,,,1447.0,-1792.36835547727,-14091.366049664803,183,1,194.779,0.0
188,,,,1452.0,-1790.36835547727,-14089.366049664803,184,1,194.762,0.0
193,,,,1482.0,-1780.36835547727,-14079.366049664803,189,1,194.751,0.0
194,,,,1487.0,-1778.36835547727,-14077.366049664803,190,1,194.715,0.0
195,,,,1488.0,-1776.36835547727,-14075.366049664803,191,1,194.692,0.0
202,,,,1519.0,-1762.36835547727,-14061.366049664803,198,1,194.663,0.0
203,,,,1527.0,-1760.36835547727,-14059.366049664803,199,1,194.623,0.0
204,,,,1536.0,-1758.36835547727,-14057.366049664803,200,1,194.596,0.0
205,,,,1535.0,-1756.36835547727,-14055.366049664803,201,1,194.58,0.0
216,,,,1573.0,-1734.36835547727,-14033.366049664803,212,1,194.567,0.0
217,,,,1581.0,-1731.36835547727,-14030.366049664803,213,1,194.551,0.0
218,,,,1593.0,-1729.36835547727,-14028.366049664803,214,1,194.546,0.0
228,,,,1618.0,-1709.36835547727,-14008.366049664803,224,1,194.537,0.0
229,,,,1623.0,-1707.36835547727,-14006.366049664803,225,1,194.497,0.0
230,,,,1623.0,-1705.36835547727,-14004.366049664803,226,1,194.463,0.0
231,,,,1620.0,-1703.36835547727,-14002.366049664803,227,1,194.429,0.0
232,,,,1619.0,-1701.36835547727,-14000.366049664803,228,1,194.401,0.0
233,,,,1621.0,-1699.36835547727,-13998.366049664803,229,1,194.383,0.0
234,,,,1624.0,-1697.36835547727,-13996.366049664803,230,1,194.376,0.0
235,,,,1627.0,-1695.36835547727,-13994.366049664803,231,1,194.375,0.0
243,,,,1640.0,-1679.36835547727,-13978.366049664803,239,1,194.341,0.0
244,,,,1644.0,-1677.36835547727,-13976.366049664803,240,1,194.331,0.0
255,,,,1649.0,-1655.36835547727,-13954.366049664803,251,1,194.32,0.0
256,,,,1648.0,-1653.36835547727,-13952.366049664803,252,1,194.284,0.0
257,,,,1648.0,-1651.36835547727,-13950.366049664803,253,1,194.248,0.0
258,,,,1647.0,-1649.36835547727,-13948.366049664803,254,1,194.215,0.0
259,,,,1642.0,-1647.36835547727,-13946.366049664803,255,1,194.184,0.0
260,,,,1640.0,-1645.36835547727,-13944.366049664803,256,1,194.148,0.0
261,,,,1637.0,-1643.36835547727,-13942.366049664803,257,1,194.11,0.0
262,,,,1636.0,-1641.36835547727,-13940.366049664803,258,1,194.072,0.0
263,,,,1636.0,-1639.36835547727,-13938.366049664803,259,1,194.015,0.0
264,,,,1634.0,-1637.36835547727,-13936.366049664803,260,1,193.977,0.0
265,,,,1636.0,-1635.36835547727,-13934.366049664803,261,1,193.939,0.0
266,,,,1637.0,-1633.36835547727,-13932.366049664803,262,1,193.902,0.0
267,,,,1637.0,-1631.36835547727,-13930.366049664803,263,1,193.866,0.0
268,,,,1639.0,-1629.36835547727,-13928.366049664803,264,1,193.831,0.0
269,,,,1641.0,-1627.36835547727,-13926.366049664803,265,1,193.791,0.0
270,,,,1644.0,-1625.36835547727,-13924.366049664803,266,1,193.75,0.0
271,,,,1650.0,-1623.36835547727,-13922.366049664803,267,1,193.708,0.0
272,,,,1653.0,-1620.36835547727,-13919.366049664803,268,1,193.668,0.0
273,,,,1654.0,-1618.36835547727,-13917.366049664803,269,1,193.633,0.0
274,,,,1655.0,-1616.36835547727,-13915.366049664803,270,1,193.611,0.0
275,,,,1656.0,-1614.36835547727,-13913.366049664803,271,1,193.607,0.0
282,,,,1675.0,-1600.36835547727,-13899.366049664803,278,1,193.602,0.0
283,,,,1681.0,-1598.36835547727,-13897.366049664803,279,1,193.566,0.0
284,,,,1687.0,-1596.36835547727,-13895.366049664803,280,1,193.522,0.0
285,,,,1688.0,-1594.36835547727,-13893.366049664803,281,1,193.484,0.0
286,,,,1690.0,-1592.36835547727,-13891.366049664803,282,1,193.456,0.0
287,,,,1692.0,-1590.36835547727,-13889.366049664803,283,1,193.441,0.0
288,,,,1693.0,-1588.36835547727,-13887.366049664803,284,1,193.436,0.0
295,,,,1713.0,-1574.36835547727,-13873.366049664803,291,1,193.414,0.0
