fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
26,,,,-1225.89245419431,-5713.592364891344,1,0,154.304,0.0
106,,,,-822.89245419431,-5310.592364891344,73,1,154.26,0.0
107,,,,-817.89245419431,-5305.592364891344,74,1,154.144,0.0
108,,,,-812.89245419431,-5300.592364891344,75,1,154.033,0.0
109,,,,-807.89245419431,-5295.592364891344,76,1,153.923,0.0
110,,,,-802.89245419431,-5290.592364891344,77,1,153.821,0.0
111,,,,-797.89245419431,-5285.592364891344,78,1,153.738,0.0
112,,,,-792.89245419431,-5280.592364891344,79,1,153.719,0.0
115,,,,-777.89245419431,-5265.592364891344,82,1,153.693,0.0
116,,,,-772.89245419431,-5260.592364891344,83,1,153.644,0.0
117,,,,-767.89245419431,-5255.592364891344,84,1,153.507,0.0
118,,,,-761.89245419431,-5249.592364891344,85,1,153.409,0.0
119,,,,-756.89245419431,-5244.592364891344,86,1,153.392,0.0
121,,,,-746.89245419431,-5234.592364891344,88,1,153.376,0.0
122,,,,-741.89245419431,-5229.592364891344,89,1,153.276,0.0
123,,,,-736.89245419431,-5224.592364891344,90,1,153.224,0.0
126,,,,-721.89245419431,-5209.592364891344,93,1,153.199,0.0
127,,,,-716.89245419431,-5204.592364891344,94,1,153.091,0.0
128,,,,-711.89245419431,-5199.592364891344,95,1,153.02,0.0
131,,,,-696.89245419431,-5184.592364891344,98,1,153.004,0.0
132,,,,-691.89245419431,-5179.592364891344,99,1,152.896,0.0
133,,,,-686.89245419431,-5174.592364891344,100,1,152.816,0.0
136,,,,-671.89245419431,-5159.592364891344,103,1,152.708,0.0
137,,,,-666.89245419431,-5154.592364891344,104,1,152.618,0.0
140,,,,-651.89245419431,-5139.592364891344,107,1,152.582,0.0
141,,,,-646.89245419431,-5134.592364891344,108,1,152.499,0.0
144,,,,-631.89245419431,-5119.592364891344,111,1,152.442,0.0
145,,,,-626.89245419431,-5114.592364891344,112,1,152.339,0.0
146,,,,-621.89245419431,-5109.592364891344,113,1,152.256,0.0
149,,,,-606.89245419431,-5094.592364891344,116,1,152.183,0.0
150,,,,-600.89245419431,-5088.592364891344,117,1,152.114,0.0
153,,,,-585.89245419431,-5073.592364891344,120,1,152.092,0.0
154,,,,-580.89245419431,-5068.592364891344,121,1,151.991,0.0
155,,,,-575.89245419431,-5063.592364891344,122,1,151.982,0.0
157,,,,-565.89245419431,-5053.592364891344,124,1,151.974,0.0
158,,,,-560.89245419431,-5048.592364891344,125,1,151.874,0.0
159,,,,-555.89245419431,-5043.592364891344,126,1,151.796,0.0
162,,,,-540.89245419431,-5028.592364891344,129,1,151.729,0.0
