leg,tickLead,tickRace,distance,area
0,-4925.0,-13018.0,168.171,0.0
0,-4920.0,-13013.0,168.17,0.0
1,-3432.0,-11525.0,168.136,0.0
1,-3427.0,-11520.0,168.065,0.0
1,-3422.0,-11515.0,167.994,0.0
1,-3417.0,-11510.0,167.921,0.0
1,-3412.0,-11505.0,167.848,0.0
1,-3407.0,-11500.0,167.773,0.0
1,-3402.0,-11495.0,167.699,0.0
1,-3397.0,-11490.0,167.618,0.0
1,-3392.0,-11485.0,167.531,0.0
1,-3387.0,-11480.0,167.456,0.0
1,-3347.0,-11440.0,167.44,0.0
1,-3342.0,-11435.0,167.348,0.0
1,-3337.0,-11430.0,167.265,0.0
1,-3332.0,-11425.0,167.186,0.0
1,-3327.0,-11420.0,167.106,0.0
1,-3322.0,-11415.0,167.02,0.0
1,-3317.0,-11410.0,166.935,0.0
1,-3312.0,-11405.0,166.846,0.0
1,-3307.0,-11400.0,166.767,0.0
1,-3302.0,-11395.0,166.682,0.0
1,-3297.0,-11390.0,166.603,0.0
1,-3292.0,-11385.0,166.525,0.0
1,-3287.0,-11380.0,166.452,0.0
1,-3282.0,-11375.0,166.373,0.0
1,-3277.0,-11370.0,166.314,0.0
1,-2231.0,-10324.0,166.303,0.0
1,-2201.0,-10294.0,166.263,0.0
1,-2196.0,-10289.0,166.201,0.0
1,-2191.0,-10284.0,166.143,0.0
1,-2187.0,-10280.0,166.102,0.0
1,-2161.0,-10254.0,166.091,0.0
1,-2151.0,-10244.0,165.946,0.0
1,-2121.0,-10214.0,165.906,0.0
1,-2106.0,-10199.0,165.845,0.0
1,-2051.0,-10144.0,165.752,0.0
1,-2046.0,-10139.0,165.696,0.0
1,-2041.0,-10134.0,165.666,0.0
1,-2036.0,-10129.0,165.642,0.0
1,-1996.0,-10089.0,165.582,0.0
1,-1991.0,-10084.0,165.503,0.0
1,-1986.0,-10079.0,165.44,0.0
1,-1981.0,-10074.0,165.386,0.0
1,-1976.0,-10069.0,165.345,0.0
1,-1971.0,-10064.0,165.322,0.0
1,-1966.0,-10059.0,165.315,0.0
1,-1961.0,-10054.0,165.308,0.0
1,-1642.0,-9735.0,165.268,0.0
1,-1637.0,-9730.0,165.224,0.0
1,-1632.0,-9725.0,165.201,0.0
1,-1627.0,-9720.0,165.191,0.0
1,-1109.0,-9202.0,165.189,0.0
1,-1064.0,-9157.0,165.186,0.0
1,-909.0,-9002.0,165.17,0.0
1,-904.0,-8997.0,165.091,0.0
1,-899.0,-8992.0,165.023,0.0
1,-894.0,-8987.0,164.984,0.0
1,-889.0,-8982.0,164.946,0.0
1,-884.0,-8977.0,164.901,0.0
1,-879.0,-8972.0,164.873,0.0
1,-874.0,-8967.0,164.834,0.0
1,-869.0,-8962.0,164.779,0.0
1,-864.0,-8957.0,164.715,0.0
1,-859.0,-8952.0,164.647,0.0
1,-849.0,-8942.0,164.498,0.0
1,-839.0,-8932.0,164.339,0.0
1,-829.0,-8922.0,164.173,0.0
1,-824.0,-8917.0,164.098,0.0
1,-814.0,-8907.0,163.983,0.0
1,-809.0,-8902.0,163.966,0.0
1,-704.0,-8797.0,163.931,0.0
1,-699.0,-8792.0,163.883,0.0
1,-694.0,-8787.0,163.847,0.0
2,208.0,-7885.0,163.835,1.596741833638489e-11
2,213.0,-7880.0,163.753,1.1170149286358339e-10
2,218.0,-7875.0,163.663,1.2541123323640749e-10
2,223.0,-7870.0,163.573,1.2821711034305385e-10
2,228.0,-7865.0,163.493,1.1646562740067985e-10
2,233.0,-7860.0,163.419,1.1004138309285032e-10
2,238.0,-7855.0,163.348,1.0779808199757108e-10
2,243.0,-7850.0,163.282,1.0226895470636144e-10
2,258.0,-7835.0,163.036,4.043275931726247e-10
2,263.0,-7830.0,162.959,1.2888279616790418e-10
2,278.0,-7815.0,162.715,4.312759570070762e-10
2,283.0,-7810.0,162.639,1.3661353059804415e-10
2,288.0,-7805.0,162.553,1.5724191671061151e-10
2,293.0,-7800.0,162.472,1.5059374833979172e-10
2,298.0,-7795.0,162.392,1.5119776638794923e-10
2,308.0,-7785.0,162.212,3.513295066219091e-10
2,313.0,-7780.0,162.113,1.9619931912420893e-10
2,318.0,-7775.0,162.014,1.9921180070682706e-10
2,323.0,-7770.0,161.919,1.940523282203764e-10
2,328.0,-7765.0,161.827,1.9072324149703623e-10
2,333.0,-7760.0,161.725,2.145487709355649e-10
2,338.0,-7755.0,161.624,2.1549992990277118e-10
2,343.0,-7750.0,161.533,1.96918544513092e-10
2,348.0,-7745.0,161.437,2.1064453563035128e-10
2,353.0,-7740.0,161.362,1.6684211493017327e-10
2,358.0,-7735.0,161.278,1.8941660954300497e-10
2,363.0,-7730.0,161.212,1.5083577180030387e-10
2,368.0,-7725.0,161.146,1.5285080976025197e-10
2,373.0,-7720.0,161.06,2.0178015136308653e-10
2,378.0,-7715.0,160.974,2.0437582096224816e-10
2,383.0,-7710.0,160.891,1.9975062960972543e-10
2,388.0,-7705.0,160.815,1.852004406587528e-10
2,393.0,-7700.0,160.731,2.072299321529749e-10
2,398.0,-7695.0,160.651,1.9977086272916875e-10
2,408.0,-7685.0,160.498,3.9137736497588463e-10
2,413.0,-7680.0,160.423,1.9406489823336466e-10
2,418.0,-7675.0,160.356,1.7538584950218497e-10
2,423.0,-7670.0,160.289,1.7740962552170348e-10
2,428.0,-7665.0,160.227,1.6604381750803146e-10
2,433.0,-7660.0,160.168,1.5979499591480705e-10
2,438.0,-7655.0,160.103,1.780092703133643e-10
2,443.0,-7650.0,160.033,1.938089450112356e-10
2,448.0,-7645.0,159.955,2.182950287800298e-10
2,453.0,-7640.0,159.882,2.0648442675524366e-10
2,458.0,-7635.0,159.815,1.915209902756122e-10
2,463.0,-7630.0,159.751,1.848668616761721e-10
2,468.0,-7625.0,159.688,1.838704238381241e-10
2,473.0,-7620.0,159.626,1.8281352694508983e-10
2,478.0,-7615.0,159.558,2.0254217031851536e-10
2,483.0,-7610.0,159.495,1.8953440218281246e-10
2,493.0,-7600.0,159.367,3.9282325659529047e-10
2,498.0,-7595.0,159.31,1.7660071417246535e-10
2,503.0,-7590.0,159.255,1.7205459303764887e-10
2,508.0,-7585.0,159.206,1.5475816936572213e-10
2,513.0,-7580.0,159.161,1.4348135221040762e-10
2,518.0,-7575.0,159.111,1.6092952680668037e-10
2,523.0,-7570.0,159.057,1.7542419152665263e-10
2,528.0,-7565.0,159.0,1.868750291665024e-10
2,533.0,-7560.0,158.945,1.8196146937331863e-10
2,538.0,-7555.0,158.893,1.7359170770931937e-10
2,543.0,-7550.0,158.841,1.7514768458487394e-10
2,548.0,-7545.0,158.784,1.936901918011568e-10
2,553.0,-7540.0,158.725,2.0224170600995445e-10
2,558.0,-7535.0,158.67,1.9016671585016907e-10
2,563.0,-7530.0,158.624,1.6042262677539673e-10
2,568.0,-7525.0,158.567,2.004848613337459e-10
2,573.0,-7520.0,158.511,1.9863066479912294e-10
2,578.0,-7515.0,158.448,2.253248096619387e-10
2,583.0,-7510.0,158.384,2.307889995714233e-10
2,588.0,-7505.0,158.324,2.1813489602495018e-10
2,593.0,-7500.0,158.258,2.4189248956739344e-10
2,599.0,-7494.0,158.157,3.73716950765245e-10
2,604.0,-7489.0,158.076,3.020415446386241e-10
2,609.0,-7484.0,157.996,3.0062897847860116e-10
2,614.0,-7479.0,157.922,2.802283045348612e-10
2,619.0,-7474.0,157.845,2.9382290769212526e-10
2,624.0,-7469.0,157.758,3.3448950983110253e-10
2,629.0,-7464.0,157.684,2.866417323100402e-10
2,634.0,-7459.0,157.608,2.965878382453586e-10
2,639.0,-7454.0,157.531,3.0271313995281044e-10
2,644.0,-7449.0,157.456,2.9701425802013746e-10
2,649.0,-7444.0,157.383,2.9120150703989307e-10
2,653.0,-7440.0,157.328,2.2066087232351125e-10
2,658.0,-7435.0,157.244,3.3943981354880806e-10
2,663.0,-7430.0,157.221,9.361624489385593e-11
2,683.0,-7410.0,157.194,1.1319448342590705e-10
2,698.0,-7395.0,157.165,1.242272456189193e-10
2,724.0,-7369.0,157.095,3.109304456925309e-10
