fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
4,,,,207.0,-1780.957670806182,-9871.85563494335,1,0,166.792,0.0
93,,,,464.0,-1618.957670806182,-9709.85563494335,64,1,166.769,0.0
94,,,,467.0,-1616.957670806182,-9707.85563494335,65,1,166.735,0.0
95,,,,472.0,-1614.957670806182,-9705.85563494335,66,1,166.701,0.0
96,,,,476.0,-1612.957670806182,-9703.85563494335,67,1,166.668,0.0
97,,,,479.0,-1610.957670806182,-9701.85563494335,68,1,166.635,0.0
98,,,,481.0,-1608.957670806182,-9699.85563494335,69,1,166.601,0.0
99,,,,482.0,-1606.957670806182,-9697.85563494335,70,1,166.567,0.0
100,,,,483.0,-1604.957670806182,-9695.85563494335,71,1,166.537,0.0
101,,,,483.0,-1602.957670806182,-9693.85563494335,72,1,166.508,0.0
102,,,,483.0,-1600.957670806182,-9691.85563494335,73,1,166.485,0.0
103,,,,482.0,-1598.957670806182,-9689.85563494335,74,1,166.462,0.0
104,,,,484.0,-1596.957670806182,-9687.85563494335,75,1,166.445,0.0
105,,,,488.0,-1594.957670806182,-9685.85563494335,76,1,166.429,0.0
106,,,,490.0,-1592.957670806182,-9683.85563494335,77,1,166.418,0.0
107,,,,493.0,-1590.957670806182,-9681.85563494335,78,1,166.414,0.0
157,,,,832.0,-1490.957670806182,-9581.85563494335,128,1,166.402,0.0
158,,,,839.0,-1488.957670806182,-9579.85563494335,129,1,166.373,0.0
159,,,,845.0,-1486.957670806182,-9577.85563494335,130,1,166.351,0.0
160,,,,847.0,-1484.957670806182,-9575.85563494335,131,1,166.329,0.0
161,,,,846.0,-1482.957670806182,-9573.85563494335,132,1,166.306,0.0
162,,,,844.0,-1480.957670806182,-9571.85563494335,133,1,166.281,0.0
163,,,,843.0,-1478.957670806182,-9569.85563494335,134,1,166.268,0.0
422,,,,1947.0,-960.957670806182,-9051.85563494335,393,1,166.25,0.0
423,,,,1947.0,-958.957670806182,-9049.85563494335,394,1,166.234,0.0
424,,,,1946.0,-956.957670806182,-9047.85563494335,395,1,166.22,0.0
425,,,,1947.0,-954.957670806182,-9045.85563494335,396,1,166.203,0.0
426,,,,1948.0,-952.957670806182,-9043.85563494335,397,1,166.186,0.0
427,,,,1945.0,-950.957670806182,-9041.85563494335,398,1,166.163,0.0
428,,,,1942.0,-948.957670806182,-9039.85563494335,399,1,166.14,0.0
429,,,,1945.0,-946.957670806182,-9037.85563494335,400,1,166.12,0.0
430,,,,1949.0,-944.957670806182,-9035.85563494335,401,1,166.102,0.0
431,,,,1947.0,-942.957670806182,-9033.85563494335,402,1,166.082,0.0
432,,,,1945.0,-940.957670806182,-9031.85563494335,403,1,166.057,0.0
433,,,,1941.0,-938.957670806182,-9029.85563494335,404,1,166.034,0.0
434,,,,1940.0,-936.957670806182,-9027.85563494335,405,1,166.012,0.0
435,,,,1937.0,-934.957670806182,-9025.85563494335,406,1,165.992,0.0
436,,,,1933.0,-932.957670806182,-9023.85563494335,407,1,165.973,0.0
437,,,,1930.0,-930.957670806182,-9021.85563494335,408,1,165.949,0.0
438,,,,1929.0,-928.957670806182,-9019.85563494335,409,1,165.926,0.0
439,,,,1926.0,-926.957670806182,-9017.85563494335,410,1,165.9,0.0
440,,,,1924.0,-924.957670806182,-9015.85563494335,411,1,165.872,0.0
441,,,,1922.0,-922.957670806182,-9013.85563494335,412,1,165.849,0.0
442,,,,1921.0,-920.957670806182,-9011.85563494335,413,1,165.823,0.0
443,,,,1923.0,-918.957670806182,-9009.85563494335,414,1,165.797,0.0
444,,,,1924.0,-916.957670806182,-9007.85563494335,415,1,165.77,0.0
445,,,,1927.0,-914.957670806182,-9005.85563494335,416,1,165.746,0.0
446,,,,1933.0,-912.957670806182,-9003.85563494335,417,1,165.72,0.0
447,,,,1937.0,-910.957670806182,-9001.85563494335,418,1,165.693,0.0
448,,,,1943.0,-908.957670806182,-8999.85563494335,419,1,165.665,0.0
449,,,,1950.0,-906.957670806182,-8997.85563494335,420,1,165.645,0.0
450,,,,1951.0,-904.957670806182,-8995.85563494335,421,1,165.628,0.0
451,,,,1951.0,-902.957670806182,-8993.85563494335,422,1,165.611,0.0
452,,,,1953.0,-900.957670806182,-8991.85563494335,423,1,165.597,0.0
453,,,,1956.0,-898.957670806182,-8989.85563494335,424,1,165.586,0.0
454,,,,1956.0,-896.957670806182,-8987.85563494335,425,1,165.571,0.0
455,,,,1953.0,-894.957670806182,-8985.85563494335,426,1,165.548,0.0
