fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
428,,,,0.0,-614.36835547727,-12913.366049664803,1,0,195.592,0.0
470,,,,0.0,-404.36835547727,-12703.366049664803,36,1,195.546,0.0
471,,,,0.0,-399.36835547727,-12698.366049664803,37,1,195.489,0.0
472,,,,0.0,-394.36835547727,-12693.366049664803,38,1,195.469,0.0
473,,,,0.0,-389.36835547727,-12688.366049664803,39,1,195.462,0.0
474,,,,0.0,-384.36835547727,-12683.366049664803,40,1,195.425,0.0
475,,,,0.0,-379.36835547727,-12678.366049664803,41,1,195.386,0.0
476,,,,0.0,-374.36835547727,-12673.366049664803,42,1,195.323,0.0
477,,,,0.0,-369.36835547727,-12668.366049664803,43,1,195.244,0.0
478,,,,0.0,-364.36835547727,-12663.366049664803,44,1,195.232,0.0
484,,,,0.0,-334.36835547727,-12633.366049664803,50,1,195.186,0.0
485,,,,0.0,-329.36835547727,-12628.366049664803,51,1,195.147,0.0
492,,,,0.0,-294.36835547727,-12593.366049664803,58,1,195.111,0.0
493,,,,0.0,-289.36835547727,-12588.366049664803,59,1,195.012,0.0
494,,,,0.0,-284.36835547727,-12583.366049664803,60,1,194.951,0.0
561,,,,0.0,50.63164452273,-12248.366049664803,127,1,194.848,0.0
562,,,,0.0,55.63164452273,-12243.366049664803,128,1,194.787,0.0
563,,,,0.0,60.63164452273,-12238.366049664803,129,1,194.771,0.0
568,,,,0.0,85.63164452273,-12213.366049664803,134,1,194.691,0.0
569,,,,0.0,90.63164452273,-12208.366049664803,135,1,194.61,0.0
570,,,,0.0,95.63164452273,-12203.366049664803,136,1,194.608,0.0
573,,,,0.0,110.63164452273,-12188.366049664803,139,1,194.565,0.0
574,,,,0.0,115.63164452273,-12183.366049664803,140,1,194.475,0.0
578,,,,0.0,135.63164452273,-12163.366049664803,144,1,194.45,0.0
579,,,,0.0,140.63164452273,-12158.366049664803,145,1,194.349,0.0
580,,,,0.0,145.63164452273,-12153.366049664803,146,1,194.295,0.0
585,,,,0.0,170.63164452273,-12128.366049664803,151,1,194.192,0.0
586,,,,0.0,175.63164452273,-12123.366049664803,152,1,194.115,0.0
587,,,,0.0,180.63164452273,-12118.366049664803,153,1,194.111,0.0
593,,,,0.0,210.63164452273,-12088.366049664803,159,1,194.042,0.0
594,,,,0.0,215.63164452273,-12083.366049664803,160,1,193.945,0.0
595,,,,0.0,220.63164452273,-12078.366049664803,161,1,193.918,0.0
599,,,,0.0,240.63164452273,-12058.366049664803,165,1,193.912,0.0
600,,,,0.0,245.63164452273,-12053.366049664803,166,1,193.817,0.0
601,,,,0.0,250.63164452273,-12048.366049664803,167,1,193.803,0.0
605,,,,0.0,270.63164452273,-12028.366049664803,171,1,193.732,0.0
606,,,,0.0,275.63164452273,-12023.366049664803,172,1,193.636,0.0
607,,,,0.0,280.63164452273,-12018.366049664803,173,1,193.597,0.0
611,,,,0.0,300.63164452273,-11998.366049664803,177,1,193.519,0.0
612,,,,0.0,305.63164452273,-11993.366049664803,178,1,193.427,0.0
613,,,,0.0,310.63164452273,-11988.366049664803,179,1,193.38,0.0
614,,,,0.0,315.63164452273,-11983.366049664803,180,1,193.376,0.0
617,,,,0.0,330.63164452273,-11968.366049664803,183,1,193.351,0.0
618,,,,0.0,335.63164452273,-11963.366049664803,184,1,193.249,0.0
619,,,,0.0,340.63164452273,-11958.366049664803,185,1,193.145,0.0
620,,,,0.0,345.63164452273,-11953.366049664803,186,1,193.084,0.0
630,,,,0.0,395.63164452273,-11903.366049664803,196,1,193.005,0.0
631,,,,0.0,400.63164452273,-11898.366049664803,197,1,192.913,0.0
632,,,,0.0,405.63164452273,-11893.366049664803,198,1,192.885,0.0
638,,,,0.0,435.63164452273,-11863.366049664803,204,1,192.859,0.0
639,,,,0.0,440.63164452273,-11858.366049664803,205,1,192.77,0.0
640,,,,0.0,445.63164452273,-11853.366049664803,206,1,192.719,0.0
641,,,,0.0,450.63164452273,-11848.366049664803,207,1,192.709,0.0
646,,,,0.0,475.63164452273,-11823.366049664803,212,1,192.664,0.0
647,,,,0.0,480.63164452273,-11818.366049664803,213,1,192.57,0.0
648,,,,0.0,485.63164452273,-11813.366049664803,214,1,192.499,0.0
649,,,,0.0,490.63164452273,-11808.366049664803,215,1,192.481,0.0
658,,,,0.0,535.63164452273,-11763.366049664803,224,1,192.461,0.0
659,,,,0.0,540.63164452273,-11758.366049664803,225,1,192.378,0.0
660,,,,0.0,545.63164452273,-11753.366049664803,226,1,192.279,0.0
661,,,,0.0,550.63164452273,-11748.366049664803,227,1,192.242,0.0
672,,,,0.0,605.63164452273,-11693.366049664803,238,1,192.209,0.0
694,,,,0.0,715.63164452273,-11583.366049664803,260,1,192.199,0.0
695,,,,0.0,720.63164452273,-11578.366049664803,261,1,192.147,0.0
701,,,,0.0,750.63164452273,-11548.366049664803,267,1,192.121,0.0
702,,,,0.0,755.63164452273,-11543.366049664803,268,1,192.035,0.0
703,,,,0.0,760.63164452273,-11538.366049664803,269,1,191.957,0.0
704,,,,0.0,765.63164452273,-11533.366049664803,270,1,191.878,0.0
705,,,,0.0,770.63164452273,-11528.366049664803,271,1,191.801,0.0
706,,,,0.0,775.63164452273,-11523.366049664803,272,1,191.72,0.0
707,,,,0.0,780.63164452273,-11518.366049664803,273,1,191.643,0.0
708,,,,0.0,785.63164452273,-11513.366049664803,274,1,191.564,0.0
709,,,,0.0,790.63164452273,-11508.366049664803,275,1,191.49,0.0
710,,,,0.0,795.63164452273,-11503.366049664803,276,1,191.407,0.0
711,,,,0.0,800.63164452273,-11498.366049664803,277,1,191.325,0.0
712,,,,0.0,805.63164452273,-11493.366049664803,278,1,191.225,0.0
713,,,,0.0,810.63164452273,-11488.366049664803,279,1,191.133,0.0
714,,,,0.0,815.63164452273,-11483.366049664803,280,1,191.116,0.0
719,,,,0.0,840.63164452273,-11458.366049664803,285,1,191.058,0.0
720,,,,0.0,845.63164452273,-11453.366049664803,286,1,190.979,0.0
721,,,,0.0,850.63164452273,-11448.366049664803,287,1,190.972,0.0
726,,,,0.0,875.63164452273,-11423.366049664803,292,1,190.889,0.0
727,,,,0.0,880.63164452273,-11418.366049664803,293,1,190.789,0.0
728,,,,0.0,885.63164452273,-11413.366049664803,294,1,190.682,0.0
729,,,,0.0,890.63164452273,-11408.366049664803,295,1,190.573,0.0
730,,,,0.0,895.63164452273,-11403.366049664803,296,1,190.483,0.0
731,,,,0.0,900.63164452273,-11398.366049664803,297,1,190.454,0.0
735,,,,0.0,920.63164452273,-11378.366049664803,301,1,190.452,0.0
736,,,,0.0,925.63164452273,-11373.366049664803,302,1,190.336,0.0
737,,,,0.0,930.63164452273,-11368.366049664803,303,1,190.241,0.0
738,,,,0.0,935.63164452273,-11363.366049664803,304,1,190.196,0.0
739,,,,0.0,940.63164452273,-11358.366049664803,305,1,190.194,0.0
740,,,,0.0,945.63164452273,-11353.366049664803,306,1,190.187,0.0
744,,,,0.0,965.63164452273,-11333.366049664803,310,1,190.09,0.0
745,,,,0.0,970.63164452273,-11328.366049664803,311,1,189.981,0.0
746,,,,0.0,975.63164452273,-11323.366049664803,312,1,189.878,0.0
747,,,,0.0,980.63164452273,-11318.366049664803,313,1,189.766,0.0
748,,,,0.0,985.63164452273,-11313.366049664803,314,1,189.653,0.0
749,,,,0.0,990.63164452273,-11308.366049664803,315,1,189.538,0.0
750,,,,0.0,995.63164452273,-11303.366049664803,316,1,189.419,0.0
751,,,,0.0,1000.63164452273,-11298.366049664803,317,1,189.31,0.0
752,,,,0.0,1005.63164452273,-11293.366049664803,318,1,189.203,0.0
753,,,,0.0,1010.63164452273,-11288.366049664803,319,1,189.098,0.0
754,,,,0.0,1015.63164452273,-11283.366049664803,320,1,188.999,0.0
755,,,,0.0,1020.63164452273,-11278.366049664803,321,1,188.911,0.0
756,,,,0.0,1025.63164452273,-11273.366049664803,322,1,188.82,0.0
757,,,,0.0,1030.63164452273,-11268.366049664803,323,1,188.734,0.0
758,,,,0.0,1035.63164452273,-11263.366049664803,324,1,188.644,0.0
759,,,,0.0,1040.63164452273,-11258.366049664803,325,1,188.552,0.0
760,,,,0.0,1045.63164452273,-11253.366049664803,326,1,188.463,0.0
761,,,,0.0,1050.63164452273,-11248.366049664803,327,1,188.368,0.0
762,,,,0.0,1055.63164452273,-11243.366049664803,328,1,188.276,0.0
763,,,,0.0,1060.63164452273,-11238.366049664803,329,1,188.187,0.0
764,,,,0.0,1065.63164452273,-11233.366049664803,330,1,188.101,0.0
765,,,,0.0,1070.63164452273,-11228.366049664803,331,1,188.018,0.0
766,,,,0.0,1075.63164452273,-11223.366049664803,332,1,187.932,0.0
767,,,,0.0,1080.63164452273,-11218.366049664803,333,1,187.844,0.0
768,,,,0.0,1085.63164452273,-11213.366049664803,334,1,187.758,0.0
769,,,,0.0,1090.63164452273,-11208.366049664803,335,1,187.663,0.0
770,,,,0.0,1095.63164452273,-11203.366049664803,336,1,187.568,0.0
771,,,,0.0,1100.63164452273,-11198.366049664803,337,1,187.481,0.0
772,,,,0.0,1105.63164452273,-11193.366049664803,338,1,187.391,0.0
773,,,,0.0,1110.63164452273,-11188.366049664803,339,1,187.302,0.0
774,,,,0.0,1115.63164452273,-11183.366049664803,340,1,187.212,0.0
775,,,,0.0,1120.63164452273,-11178.366049664803,341,1,187.131,0.0
776,,,,0.0,1125.63164452273,-11173.366049664803,342,1,187.045,0.0
777,,,,0.0,1130.63164452273,-11168.366049664803,343,1,186.948,0.0
778,,,,0.0,1135.63164452273,-11163.366049664803,344,1,186.836,0.0
779,,,,0.0,1140.63164452273,-11158.366049664803,345,1,186.741,0.0
780,,,,0.0,1145.63164452273,-11153.366049664803,346,1,186.654,0.0
781,,,,0.0,1150.63164452273,-11148.366049664803,347,1,186.58,0.0
782,,,,0.0,1155.63164452273,-11143.366049664803,348,1,186.501,0.0
783,,,,0.0,1160.63164452273,-11138.366049664803,349,1,186.422,0.0
784,,,,0.0,1165.63164452273,-11133.366049664803,350,1,186.346,0.0
785,,,,0.0,1170.63164452273,-11128.366049664803,351,1,186.268,0.0
786,,,,0.0,1175.63164452273,-11123.366049664803,352,1,186.191,0.0
787,,,,0.0,1180.63164452273,-11118.366049664803,353,1,186.121,0.0
788,,,,0.0,1185.63164452273,-11113.366049664803,354,1,186.059,0.0
789,,,,0.0,1190.63164452273,-11108.366049664803,355,1,185.992,0.0
790,,,,0.0,1195.63164452273,-11103.366049664803,356,1,185.92,0.0
791,,,,0.0,1200.63164452273,-11098.366049664803,357,1,185.851,0.0
792,,,,0.0,1205.63164452273,-11093.366049664803,358,1,185.779,0.0
793,,,,0.0,1210.63164452273,-11088.366049664803,359,1,185.69,0.0
794,,,,0.0,1215.63164452273,-11083.366049664803,360,1,185.611,0.0
795,,,,0.0,1220.63164452273,-11078.366049664803,361,1,185.596,0.0
800,,,,0.0,1245.63164452273,-11053.366049664803,2,2,185.534,28662.058878372158
801,,,,0.0,1250.63164452273,-11048.366049664803,3,2,185.433,46858.2499966396
802,,,,0.0,1255.63164452273,-11043.366049664803,4,2,185.357,35383.749967913245
803,,,,0.0,1260.63164452273,-11038.366049664803,5,2,185.278,36911.50255585049
804,,,,0.0,1265.63164452273,-11033.366049664803,6,2,185.209,32354.10490481076
805,,,,0.0,1270.63164452273,-11028.366049664803,7,2,185.136,34351.761576529774
806,,,,0.0,1275.63164452273,-11023.366049664803,8,2,185.124,5667.784472412047
812,,,,0.0,1305.63164452273,-10993.366049664803,14,2,185.088,17400.97808575442
813,,,,0.0,1310.63164452273,-10988.366049664803,15,2,185.016,34925.04101984104
814,,,,0.0,1315.63164452273,-10983.366049664803,16,2,184.989,13143.337739047663
820,,,,0.0,1345.63164452273,-10953.366049664803,22,2,184.937,25884.77485004547
821,,,,0.0,1350.63164452273,-10948.366049664803,23,2,184.823,56932.68948417677
822,,,,0.0,1355.63164452273,-10943.366049664803,24,2,184.71,56607.42101998201
823,,,,0.0,1360.63164452273,-10938.366049664803,25,2,184.599,55776.77983279124
824,,,,0.0,1365.63164452273,-10933.366049664803,26,2,184.49,54940.31836692239
825,,,,0.0,1370.63164452273,-10928.366049664803,27,2,184.372,59657.72370010678
826,,,,0.0,1375.63164452273,-10923.366049664803,28,2,184.26,56795.4065709865
827,,,,0.0,1380.63164452273,-10918.366049664803,29,2,184.154,53916.26682862811
828,,,,0.0,1385.63164452273,-10913.366049664803,30,2,184.048,54080.38833431239
829,,,,0.0,1390.63164452273,-10908.366049664803,31,2,183.933,58848.49266606331
830,,,,0.0,1395.63164452273,-10903.366049664803,32,2,183.826,54918.40248150936
831,,,,0.0,1400.63164452273,-10898.366049664803,33,2,183.723,53024.47831219636
832,,,,0.0,1405.63164452273,-10893.366049664803,34,2,183.617,54732.5411997037
833,,,,0.0,1410.63164452273,-10888.366049664803,35,2,183.505,58001.877987250344
834,,,,0.0,1415.63164452273,-10883.366049664803,36,2,183.395,57133.47754128519
835,,,,0.0,1420.63164452273,-10878.366049664803,37,2,183.278,60946.15023808342
836,,,,0.0,1425.63164452273,-10873.366049664803,38,2,183.158,62688.33087508211
837,,,,0.0,1430.63164452273,-10868.366049664803,39,2,183.047,58153.3952134463
838,,,,0.0,1435.63164452273,-10863.366049664803,40,2,182.93,61472.7549969918
839,,,,0.0,1440.63164452273,-10858.366049664803,41,2,182.823,56379.94200906571
840,,,,0.0,1445.63164452273,-10853.366049664803,42,2,182.72,54429.37440808312
841,,,,0.0,1450.63164452273,-10848.366049664803,43,2,182.596,65712.42978145521
842,,,,0.0,1455.63164452273,-10843.366049664803,44,2,182.479,62175.522547018685
843,,,,0.0,1460.63164452273,-10838.366049664803,45,2,182.364,61283.64157450459
844,,,,0.0,1465.63164452273,-10833.366049664803,46,2,182.24,66262.51985482356
845,,,,0.0,1470.63164452273,-10828.366049664803,47,2,182.123,62693.71967351854
846,,,,0.0,1475.63164452273,-10823.366049664803,48,2,181.998,67163.55875440763
847,,,,0.0,1480.63164452273,-10818.366049664803,49,2,181.876,65729.12980031807
848,,,,0.0,1485.63164452273,-10813.366049664803,50,2,181.753,66446.90615974736
849,,,,0.0,1490.63164452273,-10808.366049664803,51,2,181.622,70957.23387151129
850,,,,0.0,1495.63164452273,-10803.366049664803,52,2,181.498,67343.62658214047
851,,,,0.0,1500.63164452273,-10798.366049664803,53,2,181.387,60445.79528980658
852,,,,0.0,1505.63164452273,-10793.366049664803,54,2,181.276,60610.09468982224
853,,,,0.0,1510.63164452273,-10788.366049664803,55,2,181.165,60774.14766985345
854,,,,0.0,1515.63164452273,-10783.366049664803,56,2,181.036,70816.26534882816
855,,,,0.0,1520.63164452273,-10778.366049664803,57,2,180.9,74850.50154530675
856,,,,0.0,1525.63164452273,-10773.366049664803,58,2,180.782,65111.63352560111
857,,,,0.0,1530.63164452273,-10768.366049664803,59,2,180.659,68047.66296404708
858,,,,0.0,1535.63164452273,-10763.366049664803,60,2,180.546,62678.59458206084
859,,,,0.0,1540.63164452273,-10758.366049664803,61,2,180.439,59507.50581918965
860,,,,0.0,1545.63164452273,-10753.366049664803,62,2,180.324,64124.7715318789
861,,,,0.0,1550.63164452273,-10748.366049664803,63,2,180.207,65408.94095948708
862,,,,0.0,1555.63164452273,-10743.366049664803,64,2,180.091,65016.95254994892
863,,,,0.0,1560.63164452273,-10738.366049664803,65,2,179.962,72486.40361019992
864,,,,0.0,1565.63164452273,-10733.366049664803,66,2,179.845,65909.05133912692
865,,,,0.0,1570.63164452273,-10728.366049664803,67,2,179.724,68334.80442452188
866,,,,0.0,1575.63164452273,-10723.366049664803,68,2,179.598,71336.04833540936
867,,,,0.0,1580.63164452273,-10718.366049664803,69,2,179.47,72646.94314695055
868,,,,0.0,1585.63164452273,-10713.366049664803,70,2,179.36,62586.94233044163
869,,,,0.0,1590.63164452273,-10708.366049664803,71,2,179.251,62175.5625094646
870,,,,0.0,1595.63164452273,-10703.366049664803,72,2,179.137,65191.49665516466
871,,,,0.0,1600.63164452273,-10698.366049664803,73,2,179.026,63634.86051838286
872,,,,0.0,1605.63164452273,-10693.366049664803,74,2,178.918,62070.43104364312
873,,,,0.0,1610.63164452273,-10688.366049664803,75,2,178.806,64530.09857338489
874,,,,0.0,1615.63164452273,-10683.366049664803,76,2,178.681,72195.91371318715
875,,,,0.0,1620.63164452273,-10678.366049664803,77,2,178.551,75262.39287271253
876,,,,0.0,1625.63164452273,-10673.366049664803,78,2,178.427,71959.02691660318
877,,,,0.0,1630.63164452273,-10668.366049664803,79,2,178.31,68059.67699373061
878,,,,0.0,1635.63164452273,-10663.366049664803,80,2,178.196,66474.82443709565
879,,,,0.0,1640.63164452273,-10658.366049664803,81,2,178.082,66635.38955939122
880,,,,0.0,1645.63164452273,-10653.366049664803,82,2,177.973,63866.95589575748
881,,,,0.0,1650.63164452273,-10648.366049664803,83,2,177.881,54039.31633716684
882,,,,0.0,1655.63164452273,-10643.366049664803,84,2,177.874,4122.994649883233
886,,,,0.0,1675.63164452273,-10623.366049664803,88,2,177.816,34568.31433913248
887,,,,0.0,1680.63164452273,-10618.366049664803,89,2,177.729,51985.995490503046
888,,,,0.0,1685.63164452273,-10613.366049664803,90,2,177.71,11383.64529585605
892,,,,0.0,1705.63164452273,-10593.366049664803,94,2,177.629,49092.272877588526
893,,,,0.0,1710.63164452273,-10588.366049664803,95,2,177.582,28558.853322878687
898,,,,0.0,1735.63164452273,-10563.366049664803,100,2,177.486,59161.65664871233
899,,,,0.0,1740.63164452273,-10558.366049664803,101,2,177.44,28418.58964493345
904,,,,0.0,1765.63164452273,-10533.366049664803,106,2,177.388,32577.768348456284
