fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
3,1,1,-3775.25180630141,-8257.264903102952,,,,-9999.0,154.219
240,1,238,-2431.25180630141,-6913.264903102952,,,,-9999.0,154.21
241,1,239,-2430.25180630141,-6912.264903102952,,,,-9999.0,154.193
242,1,240,-2429.25180630141,-6911.264903102952,,,,-9999.0,154.176
243,1,241,-2428.25180630141,-6910.264903102952,,,,-9999.0,154.158
244,1,242,-2427.25180630141,-6909.264903102952,,,,-9999.0,154.144
245,1,243,-2426.25180630141,-6908.264903102952,,,,-9999.0,154.132
246,1,244,-2425.25180630141,-6907.264903102952,,,,-9999.0,154.119
247,1,245,-2424.25180630141,-6906.264903102952,,,,-9999.0,154.109
248,1,246,-2423.25180630141,-6905.264903102952,,,,-9999.0,154.108
346,1,344,-2323.25180630141,-6805.264903102952,,,,-9999.0,154.092
347,1,345,-2322.25180630141,-6804.264903102952,,,,-9999.0,154.071
348,1,346,-2321.25180630141,-6803.264903102952,,,,-9999.0,154.051
349,1,347,-2320.25180630141,-6802.264903102952,,,,-9999.0,154.028
350,1,348,-2319.25180630141,-6801.264903102952,,,,-9999.0,154.006
351,1,349,-2318.25180630141,-6800.264903102952,,,,-9999.0,153.984
352,1,350,-2317.25180630141,-6799.264903102952,,,,-9999.0,153.962
353,1,351,-2316.25180630141,-6798.264903102952,,,,-9999.0,153.943
354,1,352,-2315.25180630141,-6797.264903102952,,,,-9999.0,153.932
355,1,353,-2314.25180630141,-6796.264903102952,,,,-9999.0,153.931
364,1,362,-2302.25180630141,-6784.264903102952,,,,-9999.0,153.922
365,1,363,-2301.25180630141,-6783.264903102952,,,,-9999.0,153.911
366,1,364,-2300.25180630141,-6782.264903102952,,,,-9999.0,153.906
376,1,374,-2290.25180630141,-6772.264903102952,,,,-9999.0,153.897
377,1,375,-2289.25180630141,-6771.264903102952,,,,-9999.0,153.875
378,1,376,-2288.25180630141,-6770.264903102952,,,,-9999.0,153.857
379,1,377,-2287.25180630141,-6769.264903102952,,,,-9999.0,153.843
382,1,380,-2276.25180630141,-6758.264903102952,,,,-561.0,153.787
383,1,381,-2271.25180630141,-6753.264903102952,,,,-9999.0,153.781
390,1,388,-2261.25180630141,-6743.264903102952,,,,-9999.0,153.746
391,1,389,-2260.25180630141,-6742.264903102952,,,,-9999.0,153.73
392,1,390,-2255.25180630141,-6737.264903102952,,,,-558.0,153.701
401,1,399,-2242.25180630141,-6724.264903102952,,,,-9999.0,153.686
402,1,400,-2241.25180630141,-6723.264903102952,,,,-9999.0,153.672
403,1,401,-2240.25180630141,-6722.264903102952,,,,-9999.0,153.653
404,1,402,-2239.25180630141,-6721.264903102952,,,,-9999.0,153.63
405,1,403,-2238.25180630141,-6720.264903102952,,,,-9999.0,153.615
406,1,404,-2237.25180630141,-6719.264903102952,,,,-9999.0,153.607
407,1,405,-2236.25180630141,-6718.264903102952,,,,-9999.0,153.602
453,1,451,-2171.25180630141,-6653.264903102952,,,,-9999.0,153.586
454,1,452,-2170.25180630141,-6652.264903102952,,,,-9999.0,153.583
455,1,453,-2169.25180630141,-6651.264903102952,,,,-9999.0,153.582
458,1,456,-2157.25180630141,-6639.264903102952,,,,-9999.0,153.524
459,1,457,-2156.25180630141,-6638.264903102952,,,,-9999.0,153.52
466,1,464,-2143.25180630141,-6625.264903102952,,,,-9999.0,153.513
467,1,465,-2142.25180630141,-6624.264903102952,,,,-9999.0,153.498
468,1,466,-2140.25180630141,-6622.264903102952,,,,-9999.0,153.479
469,1,467,-2137.25180630141,-6619.264903102952,,,,-9999.0,153.467
483,1,481,-2123.25180630141,-6605.264903102952,,,,-9999.0,153.466
484,1,482,-2122.25180630141,-6604.264903102952,,,,-9999.0,153.451
485,1,483,-2117.25180630141,-6599.264903102952,,,,-532.0,153.368
486,1,484,-2112.25180630141,-6594.264903102952,,,,-9999.0,153.356
505,1,503,-2092.25180630141,-6574.264903102952,,,,-9999.0,153.347
506,1,504,-2091.25180630141,-6573.264903102952,,,,-9999.0,153.321
507,1,505,-2090.25180630141,-6572.264903102952,,,,-9999.0,153.298
508,1,506,-2089.25180630141,-6571.264903102952,,,,-9999.0,153.273
509,1,507,-2088.25180630141,-6570.264903102952,,,,-9999.0,153.253
510,1,508,-2087.25180630141,-6569.264903102952,,,,-9999.0,153.234
511,1,509,-2086.25180630141,-6568.264903102952,,,,-9999.0,153.213
512,1,510,-2085.25180630141,-6567.264903102952,,,,-9999.0,153.198
513,1,511,-2084.25180630141,-6566.264903102952,,,,-9999.0,153.185
514,1,512,-2083.25180630141,-6565.264903102952,,,,-9999.0,153.179
533,1,531,-2064.25180630141,-6546.264903102952,,,,-9999.0,153.175
534,1,532,-2063.25180630141,-6545.264903102952,,,,-9999.0,153.16
535,1,533,-2062.25180630141,-6544.264903102952,,,,-9999.0,153.142
536,1,534,-2061.25180630141,-6543.264903102952,,,,-9999.0,153.126
537,1,535,-2060.25180630141,-6542.264903102952,,,,-9999.0,153.109
538,1,536,-2059.25180630141,-6541.264903102952,,,,-9999.0,153.09
539,1,537,-2058.25180630141,-6540.264903102952,,,,-9999.0,153.073
540,1,538,-2057.25180630141,-6539.264903102952,,,,-9999.0,153.058
541,1,539,-2056.25180630141,-6538.264903102952,,,,-9999.0,153.046
542,1,540,-2055.25180630141,-6537.264903102952,,,,-9999.0,153.039
543,1,541,-2054.25180630141,-6536.264903102952,,,,-9999.0,153.032
544,1,542,-2053.25180630141,-6535.264903102952,,,,-9999.0,153.029
562,1,560,-2034.25180630141,-6516.264903102952,,,,-9999.0,153.027
563,1,561,-2033.25180630141,-6515.264903102952,,,,-9999.0,153.005
564,1,562,-2032.25180630141,-6514.264903102952,,,,-9999.0,152.984
565,1,563,-2031.25180630141,-6513.264903102952,,,,-9999.0,152.96
566,1,564,-2030.25180630141,-6512.264903102952,,,,-9999.0,152.939
567,1,565,-2029.25180630141,-6511.264903102952,,,,-9999.0,152.917
568,1,566,-2028.25180630141,-6510.264903102952,,,,-9999.0,152.899
569,1,567,-2027.25180630141,-6509.264903102952,,,,-9999.0,152.88
570,1,568,-2026.25180630141,-6508.264903102952,,,,-9999.0,152.863
571,1,569,-2025.25180630141,-6507.264903102952,,,,-9999.0,152.845
572,1,570,-2024.25180630141,-6506.264903102952,,,,-9999.0,152.827
573,1,571,-2023.25180630141,-6505.264903102952,,,,-9999.0,152.81
574,1,572,-2022.25180630141,-6504.264903102952,,,,-9999.0,152.793
575,1,573,-2021.25180630141,-6503.264903102952,,,,-9999.0,152.778
